title,content,media,keyword
Pepperがおもてなしする新業態カフェ、新・東急プラザ渋谷に誕生！,"
　東京・渋谷に12月5日にオープンする「東急プラザ渋谷」。一足先に開催された内覧会で注目を集めたのが、ソフトバンクロボティクスの人型ロボット「Pepper」が接客する新業態カフェ「Pepper PARLOR」だ。



　2015年3月の閉館を経て、生まれ変わった「東急プラザ渋谷」。ターゲットを若者ではなくあえて大人に設定することで“新しい渋谷像”の提案を目指す。その狙いを象徴するのが、5階の「シブヤライフラウンジ」だ。

　このフロアでは、投資信託や保険、健康などをサポートする店舗がそろい、フロア全体でライフスタイルをトータルサポートできるようになっている。その中で「Pepper PARLOR」は中心に位置し、世界の国をイメージしたワッフルやドリンクなどを楽しむことができる。
 

 

　ソフトバンクロボティクスの蓮実一隆取締役は、「Pepperは2014年に誕生し、今年で5歳。おかげさまで街でもよく見かけるようになったが、『そろそろ新しいことしないのかな？』と考えている方もいらっしゃる。今回のカフェは、まさにそうした取り組みで、新しいPepperとのコミュニケーションをお見せできると思う」と意気込みを語った。
 

　Pepperがこなす業務は二つ。まずは、メニューの注文受付。訪日観光客のニーズを踏まえて、多言語に対応する。二つ目は、来店客とのコミュニケーション。予約制の特設シートを設け、搭載した占いやゲームのアプリを一緒に楽しむことができる。
 

 

　カフェで働いているのは、Pepperだけではない。Pepperより小型でダンスなどの機敏な動きが得意な「NAO」、AI掃除ロボット「Whiz」なども活躍している。蓮実取締役によると、“第4のロボット”も近日中に店舗に登場する予定だという。
 

 

　「Pepper PARLOR」は、店舗プロデュースに著名なブランドプロデューサーの柴田陽子氏、内装デザインに森田恭通氏、店舗のグリーンプロデュースに尾藤祐子氏など、錚々たるスペシャリストが名を連ねている。

　柴田氏の「日本のこれから先を想像できるような場所になれば」というコメント通り、人間とロボットの共存を強くイメージした仕掛けが随所に散りばめられている。オープン後は、単なる客寄せパンダではないPepperの活躍を目にすることができそうだ。（BCN・大蔵大輔）",BCN,ソフトバンク
ＨＳＢＣチュー氏、ソフトバンクＧ系出資の新興企業に入社へ－関係者,"
（ブルームバーグ）： 英銀ＨＳＢＣホールディングスでアジアの資本財・自動車投資バンキングチームを率いるアーネスト・チュー氏は、シンガポールのスタートアップ企業、カーロに入社するため同行を去る。事情を知る関係者が明らかにした。",Bloomberg,ソフトバンク
「Google Nest Wifi」販売開始、拡張ポイントはスマートスピーカー兼用,"
　Googleは、無線LANルータと、AIアシスタント「Googleアシスタント」を搭載した拡張ポイント（無線LANアクセスポイント）をセットにした「Google Nest Wifi」を11月29日に発売した。カラーはスノーのみ。税込価格は、ルータと拡張ポイントのセットが3万1900円、ルータ単体が1万9800円、拡張ポイント単体が1万8150円。



　「Google Nest Wifi」は、メッシュWi-Fi技術を搭載した2018年発売の前機種「Google Wifi」と比較して、最大2倍の通信速度と、最大25％広い通信範囲を実現しており、ルータ1基と拡張ポイント2基の組み合わせによって、最大約300平方メートルをカバーする。
 

　設定には無料アプリ「Google Home」アプリを使用し、ネットワーク設定や無線LAN対応デバイスの接続に加え、ゲスト用ネットワークの設定やパスワード共有、デバイスの優先順位付け、ネットワーク速度のテストなどが可能。「Google Nest Hub Max」などのスマートディスプレイなら、画面にゲスト用ネットワークとパスワードの表示が可能で、ゲストはスマートフォンでコードをスキャンするだけでゲスト用ネットワークに接続できる。

　Googleアシスタントを搭載する拡張ポイントは、11月22日に発売した「Google Nest Mini」同様、スマートスピーカーとしても利用できる1台2役の製品。「OK Google、子ども部屋のWi-Fiを一時停止して」「OK Google、Wi-Fi の通信速度を教えて」などと話しかけて設定の変更や通信速度の確認なども行える。

　ほかにも、スマートホームの基盤となるよう、ローカルホーム接続機能を搭載し、一部の機器ではハブを介さずにシステムに直接接続できる。販売する店舗・ECサイトは、Google ストア、エディオン、ケーズデンキ、コジマ、上新電機、ソフトバンクショップ、ソフマップ、TSUKUMO、ノジマ、PCデポ、ビックカメラ、ベイシア電器、ベスト電器、ヤマダ電機、ヨドバシカメラ、楽天ブックス。",BCN,ソフトバンク
松坂投手が14年ぶりにライオンズ復帰,"
甲子園を沸かせた「平成の怪物」が14年ぶりに復帰します。プロ野球埼玉西武ライオンズは3日、中日を退団した松坂大輔投手と契約に合意したと発表しました。

松坂投手は1998年のドラフト会議で、3球団競合の末、ドラフト1位で西武に入団、1年目に16勝を挙げ新人王に輝き、2007年にアメリカ・大リーグに移籍するまでエースとして活躍しました。2015年にソフトバンクで日本球界に復帰、去年からプレーした中日に来季の契約を打診されていましたが新たな環境を求め退団しました。

松坂投手は、球団を通じ「プロ野球選手としてのスタートであり育ててもらった所沢、そしてライオンズファンの皆さんの前で再び野球ができることをとても楽しみにしています」とコメントしています。",テレ玉,ソフトバンク
「ソフトバンクがデジタル通貨ウォレット備えたカード導入」のリリース、SB広報は否定,"
ソフトバンクのSBCウォレット・カーズ（SBC Wallet Cards）と名乗る企業が、「デジタル通貨のウォレット機能を備えたデビット・クレジットカードを日本で導入した」とする発表文が海外のプレスリリース配信サイトを通じて広がったが、ソフトバンクの広報担当者はCoinDesk Japanの取材に対し、同社がそのような発表をした事実はないと否定した。",CoinDesk Japan,ソフトバンク
相席Pepperがかなうカフェ--東急プラザ渋谷に「Pepper PARLOR（ペッパーパーラー）,"
　ソフトバンクロボティクスは、東京都渋谷区の新たなランドマークとして、12月5日に開業する商業施設「東急プラザ渋谷」に、カフェラウンジ「Pepper PARLOR（ペッパーパーラー）」をオープンする。12月3日に先駆けて内覧会を開催した。席数は、全162席、420平米の広いスペースだ。

Pepper PARLORの挑戦

　Pepper PARLORでは、PepperほかNAO、掃除ロボットのWhizが活躍する。まず、入店すると、まずズラリと並ぶPepperが目に入る。「はーい、こちらのタブレットで注文をお願いします！」と話しかけてくるので、Pepperの前にあるタブレットを使い、好きなメニューを選ぶ。Pepperが顔を認識して年齢やその日の体調を分析し、レコメンドしてくれる機能もある。

　メニューのコンセプトは「世界を旅するグルメ＆スイーツワッフル」だ。食事にもデザートにもなる、世界の国々をイメージしたワッフルやドリンクなどがラインアップし、ビーガンメニューにも対応している。メニュー開発は、東京・青山のグリルレストランTHE BURN 総料理長を務める米澤文雄氏が手掛けた。ニューヨークのミシュラン三ツ星レストランJean-Georges本店で日本人初のスー・シェフに抜擢された経歴を持つ。

　ロボット責任者・ロボットプランニングを担当する、ソフトバンクロボティクス 取締役の蓮実一隆氏は、「Pepperは2014年生まれで、はや5歳。街中で見かけることが増え、喜んで使っていただいている方もいるが、そろそろPepperは新しいことをやらないのかなという方もいる。新たな挑戦としてPepper PARLORをやることにした」と背景を語った。

　「主役はお客様。おいしい料理を食べてゆっくり過ごせる場所をつくりたかった。何気に横を向くとロボットが働いているというのが理想」（蓮実氏）と話すとおり、ロボットが食事を運ぶといったことはなく、おしゃれなカフェの中にPepperやNAOがいるというイメージだ。",CNET Japan,ソフトバンク
iPhone 11、ソフトバンクとauは販売好調！ NTTドコモは苦戦が続く！　スマートフォン売れ筋ランキング,"
　「BCNランキング」2019年11月30日の日次集計データによると、スマートフォンの実売台数ランキングは以下の通りとなった。

1位　iPhone 11 64GB(SoftBank)（アップル）
2位　iPhone 11 64GB(au)（アップル）
3位　iPhone 11 128GB(SoftBank)（ベアップル）
4位　AQUOS sense3 SH-02M（シャープ）
5位　iPhone 11 128GB(au)（アップル）
6位　iPhone 8 64GB(au)（アップル）
7位　Pixel 3a(Softbank)（Google）
8位   iPhone 7 32GB(Y!mobile)（アップル）
9位　arrows U 801FJ（富士通コネクテッドテクノロジーズ）
10位　iPhone 11 Pro 256GB(SoftBank)（アップル）
10位　iPhone 11 64GB(NTT docomo)（アップル）
 

＊「BCNランキング」は、全国の主要家電量販店・ネットショップからパソコン本体、デジタル家電などの実売データを毎日収集・集計しているPOSデータベースで、日本の店頭市場の約4割（パソコンの場合）をカバーしています。
 ",BCN,ソフトバンク
「ペッパー」が接客や相席、東急プラザ渋谷にソフトバンクロボティクス初のカフェが誕生,"
　ソフトバンクロボティクスが、「ペッパー（Pepper）」をはじめとする様々なロボットが人と共に働くラウンジカフェ「ペッパーパーラー（Pepper PARLOR）」を12月5日に開業する東急プラザ渋谷5階に出店する。【画像】テーブル席で接客するペッパー　ペッパーパーラーではロボットがスタッフとして働きながら、来店者にエンターテインメントを提供。ソフトバンクロボティクスが目指す「人とロボットの共生」を体感できる場として、ロボットの進化やロボットと暮らす未来が気軽に感じられる空間を目指すという。ブランドプロデュースはコーポレートブランディングや店舗プロデュースなどのコンサルティング業務を請け負う柴田陽子、内装デザインは「東急プラザ渋谷」の商環境デザインを手掛けたデザイナーの森田恭通、メニュー監修は「THE BURN」料理長の米澤文雄、ウォールデザインは左官職人の久住有生、店内のグリーンプロデュースはグリーンアーティストの尾藤祐子が担当するなど国内外で活動するメンバーが参画している。

　全162席を用意した店内には注文を受け付けるペッパーや、相席をして来店者をもてなすペッパーなど約9体を設置。このほか、二足歩行ロボット「ナオ（NAO）」や、営業時間前に店内を清掃するAI清掃ロボット「ウィズ（Whiz）」などが店内で働く。なお、ロボットに加えて人間のスタッフは20～30人程が常時店内にいるという。メニューは「世界を旅するグルメ＆スイーツワッフル」をコンセプトに、世界の国々をイメージしたワッフルやドリンク、ヴィーガンメニューなどを提供する。

　同社が飲食店を運営するのは今回が初めて。出店に際し、ペッパーパーラーのプロジェクト責任者を務めるソフトバンクロボティクスの蓮実一隆取締役は「ナオを開発して13年、ペッパーを開発してから5年が経つため、ひとつの集大成を作りたいと考えていた。また、東急プラザ渋谷は年齢層の高い館として展開していくとのことなので、だからこそシニアが交流する機会が少ないロボットの動いている姿を見せたいと思った。渋谷に来る女子高生からお年寄りの方まで、ロボットの面白さや温かみを広く知ってもらいたい」と話した。将来的には、ペッパーの設置台数を増やすほか、接客や相席以外にも業務の幅を広げていく計画だという。",FASHIONSNAP.COM,ソフトバンク
新しくなった東急プラザ渋谷は「アクティブシニア」に支持されるか,"
　東急不動産は12月5日、東京・渋谷駅西口の再開発ビル「渋谷フクラス」の中核商業施設「東急プラザ渋谷」をオープンする。“成熟した大人たち”を主なターゲットとして、「人生100年時代」を見据えたライフスタイルを提案する店舗やサービスを展開。渋谷を楽しむ新しいコンセプトを打ち出し、落ち着いて過ごせる場を求める層の獲得を目指す。【18階ルーフトップガーデンからの眺め。スクランブル交差点も見える】",ITmedia ビジネスオンライン,ソフトバンク
Pepperが働くカフェ「Pepper PARLOR」オープン。東急プラザ渋谷,"
ソフトバンクロボティクスは、5日より開業の商業施設「東急プラザ渋谷」に、カフェ「Pepper PARLOR」をオープンする。店内にPepperが配置され、Pepperに注文を取ってもらったり、いっしょにゲームを楽しんだりできる。【この記事に関する別の画像を見る】世界の国々をイメージしたオリジナルワッフルやドリンクをメインとするカフェで、ソフトバンクロボティクスとして初の飲食店。

店内には注文カウンターに配置された「受付Pepper」と、テーブル席に配置される「相席Pepper」が存在。受付Pepperは文字通り注文を取るのが仕事で、タッチパネルで操作すると音声で案内もしてくれる。また、「おすすめワッフル」を聞くと、利用者の外見や性別、表情などから年齢層、感情などを読み取っておすすめのワッフルを教えてくれる。

相席Pepperは、Pepperがテーブルの横に配置され、会話や占い、ゲームを一緒に楽しめるというもの。これらによって、人とロボットの共生を気軽に体験し、ロボットの進化、ロボットと暮らす未来を楽しめる空間を目指すという。

メニューを手がけるのは、ニューヨークの三つ星レストラン「Jean-Georges」本店で日本人初のスー・シェフに抜擢された米澤文雄氏。「世界を旅するグルメ&スイーツワッフル」をコンセプトに、世界各国の料理とワッフルを組み合わせたオリジナルメニューを取りそろえる。

店内ではPepperのキャラクターグッズ販売も行なうほか、コーヒークリエイター那珂側亮太氏がブレンドした「Pepper PARLOR Premium Blend」も販売。コーヒーメーカーはNASAのロボットエンジニアと共同開発し、中川氏の技を完全再現しているという。価格は800円。

店内の装飾は、あえて天然の苔などを使い、自然を意識したデザインにすることでロボットとのコントラストを生み出している。

座席数は全162席。営業時間は10時～21時(ラストオーダー8時30分)。

なお、5日～8日まで、オープン記念フェアを開催。Pepper PARLOR公式インスタグラムアカウントをフォローして、タグ付け投稿した人から各日先着100名(合計400名)にPepper Pepper PARLOR “The Premium Coffee”オリジナルタンブラー」がプレゼントされる。",Impress Watch,ソフトバンク
