title,content,media
〔東京株式〕3日ぶり反落＝利益確定売り優勢（19日）☆差替,"
　【第1部】円相場の上昇で利益確定売りがかさみ、日経平均株価は前日比124円11銭安の2万3292円65銭、東証株価指数（TOPIX）は3．99ポイント安の1696．73と、ともに3営業日ぶりに反落した。中国株高に下げ渋る場面もあったが、米中貿易協議を見極めようとして積極的な買いは手控えられた。
　銘柄の54％が値下がりし、値上がりは41％。出来高は12億408万株、売買代金が1兆9674億円。
　業種別株価指数（33業種）は、鉱業、非鉄金属、ゴム製品の下落が目立ち、医薬品、不動産業、その他金融業などは上昇した。
　個別銘柄では、国際帝石、住友鉱が安く、ブリヂストンは軟調。ソフトバンクGが値を下げ、ZHDは急落した。ソニー、東エレクが下押し、太陽誘電、SUMCOも大幅安で、トヨタはさえない。ファーストリテが下落した。半面、田辺三菱がストップ高で、エーザイも上伸し、武田や資生堂は底堅い。菱地所が値を上げ、JPXはしっかり。任天堂、リクルートHDが締まった。
　【第2部】反落。東芝が売られ、音通、アルチザも値を下げた。半面、REVOLUTIは買われた。出来高1億1075万株。
　▽上値重く
　19日の東京株式市場で、日経平均株価は反落した。下げ幅を前日比170円超に広げた後にいったん戻り足を速めたが、再び押し返された。売り圧力の強さが確認され、「当面は上値が重くなる」（大手証券）との声が上がっていた。
　米中貿易協議は第1段階の合意に向けて、「建設的な議論をしている」との報道がある一方、「中国側は悲観的」とも伝わり、情報は錯綜（さくそう）している。市場で支配的だった楽観ムードが後退する形となり、利益確定売りが広がった。
　日経平均は10月上旬以降ほぼ一本調子で上伸し、年初来高値圏で推移。一段の上値を追うには材料不足の中で先行き不透明要因が浮上すれば、売りが出やすくなる。しばらくは好材料が出た個別株で、「幕あいをつなぐのが得策」（中堅証券）になりそうだ。
　225先物12月きりも、甘い。株価指数オプション取引は、プットが締まり、コールは軟化した。",時事通信
ヤフー・LINE「ワンチームつくりたい」経営統合の勝算は,"
「日本、アジアから世界をリードする『ＡＩテックカンパニー』になりたい！」

　検索サービス「ヤフー」を展開する「Ｚホールディングス」（ＺＨＤ）と無料通信アプリ「ＬＩＮＥ」が１８日、経営統合の合意を正式に発表した。ＺＨＤの川辺健太郎、ＬＩＮＥの出沢剛両社長による会見が都内で開かれ、米中の巨大ＩＴ企業に対抗する“第三極”となると意気込んでいたのだが、果たして勝算はあるのか。

　統合によってグループ全体で２万人の社員を抱えることになることを受け、両社長はそろって「ワンチームをつくっていきたい」と強調。互いの利用者やサービス、人材などの分野で相乗効果が生まれると力説していたものの、具体的な内容については語られなかった。

　経営統合はＺＨＤの親会社である「ソフトバンク」と、ＬＩＮＥの親会社である韓国大手ＩＴ「ネイバー」が折半出資した新会社の傘下にＺＨＤが収まり、その下にヤフーとＬＩＮＥが“兄弟会社”として並ぶという。公取委審査を経て、来年１０月に完了する予定だ。「世界をリードする！」とブチ上げるのは結構なのだが、気になるのは企業風土が異なる大手ＩＴ企業がすんなりと経営統合できるのかだ。

■製品やサービスのすみ分けは今後に持ち越し

「経営やサービスの上でお互いに足並みがそろわないときは、誰が判断をして足並みをそろえていくのか」

　記者の質問に対し、出沢社長は「製品に関しては互いに“お見合い”にならないような仕組みだが、すでにやっている事業のすみ分けなどの話についてはしばらく徹底的に議論する」と回答。両社の製品やサービスの展開については統合後に決めていく、と説明したが、前途多難の印象は拭えない。ＩＴジャーナリストの井上トシユキ氏がこう言う。

「今回の統合合意は、米ＩＴ大手４社『ＧＡＦＡ』から日韓を含む東南アジア市場を死守しようという狙いがあると考えられます。協業できなければＧＡＦＡに好き放題データを取られてしまうので、何としても統合を成功させるでしょう。来年１０月の統合予定を考えると、随分と急な話なので、両社の間で互いに『何を譲り守るか』という前提については、ある程度話をしているのではないでしょうか」

　大手百貨店の「三越」と「伊勢丹」、「結果にコミットする」の「ＲＩＺＡＰグループ」など、経営統合が必ずしも大成功するとは限らない。２０２０年の東京五輪のマラソン・競歩会場の札幌変更を巡る協議で、小池百合子都知事も「ワンチーム」を連呼していたが、途中で空中分解なんて事態に陥らないか心配だ。",日刊ゲンダイDIGITAL
ヤフーとＬＩＮＥが経営統合、米国などの巨大ＩＴ企業に対抗,"
香港（ＣＮＮ Ｂｕｓｉｎｅｓｓ）　ソフトバンクは１８日、ネット企業「ヤフー」を展開する傘下のＺホールディングス（ＨＤ）がメッセージアプリの「ＬＩＮＥ（ライン）」と経営統合する計画を明らかにした。米中の強力なライバル企業に対抗するため、アジア諸国への市場拡大をにらみながら競争力を維持する必要があるとしている。

ＺＨＤの川邊健太郎社長とＬＩＮＥの出澤剛社長は同日、共同記者会見に臨み、世界的な巨大ＩＴ企業の台頭を受けて両社が危機感を共有している現状を説明した。

出澤氏は、両社が統合しても世界のハイテク市場で先頭を走る各社とは依然として大きな差があると指摘。川邊氏は、人工知能（ＡＩ）が巻き返しの鍵になるとの見方を示した。

投資家は経営統合の判断を歓迎している。１８日の東京株式市場でＬＩＮＥ株の終値は２．２％高を記録。ＺＨＤ株は１．２％高だった。

証券会社ジェフリーズのアナリスト、アトゥル・ゴヤル氏は、両社のプラットフォームが統合されれば、それぞれのサービスをユーザーに対して抱き合わせで販売することができ、収益の増加が見込めると分析。さらに「アクセスが可能なデータも格段に増え、広告主に対する交渉力も強化されるだろう」と予測している。",CNN.co.jp
伊集院光、侍J稲葉監督の選手起用に「勇気がいる」　チーム支えた職人タイプの2選手にも称賛,"
　タレントの伊集院光（52）が18日、TBSラジオ「伊集院光とらじおと」（月～木曜前8・30）に生出演。17日に行われた「プレミア12」決勝で大会連覇を狙う韓国を撃破し、同大会初優勝を果たした侍ジャパンについて語った。

　この日、番組では冒頭から「プレミア12」での侍ジャパン優勝についてトークを展開。野球好きとして知られる伊集院は「ハラハラする試合で、初回に韓国代表に3点取られて、なんとか逆転して。1点差を守って、守って、終盤、もう1点追加してなんとか、みたいな試合だった」と興奮気味に振り返った。

　続けて、日本を頂点へ導いた侍ジャパンの稲葉篤紀監督（47）の選手起用が話題へ。「考えに考えたんだろうけど、まず、一躍有名になった、足のスペシャリストである周東選手」と球界屈指の俊足を買われて侍ジャパンに初選出された周東佑京外野手（23＝ソフトバンク）を挙げた。「この人は、ホームランを打つバッターでも、もっと言えばヒットをたくさん打つ人でもなくて。大チャンスの時に、ピンチランナーで出てきて、必ず盗塁を決める」と説明し「これを日本代表に選ぶのって勇気いるのよ。（ベンチ入りの選手は）限られた人数だから」と語った。

　また、投手陣では巨人から選ばれた大竹寛投手（36）について力説。「このピッチャーは、成績的には今年もそんな派手にいいわけじゃない。安定してるピッチャーなんだけど。シュートっていう変化球を得意にしてて。実は、アメリカにはこのシュートを得意にしてるピッチャーがあんまりいない。だから、ここぞっていうときに、シュートを投げるためのピッチャー」と話した。

　その上で伊集院は「こういう選手を入れるのって、『他にこういうスター選手いるだろう』みたいになるので、まぁ勇気がいる」と職人タイプの選手を代表に入れることは難しいと持論を展開。そんな中、巧みに選手起用を行い10年ぶりの国際大会タイトルとなった侍ジャパン。「この選手を使うんだ。あえてスタープレーヤーではなくて、2つのポジションを守れる人をたくさん呼ぶことで限られた人数の中で、こうやり繰りしようっていうのをやっていた。凄かった、凄かった」と稲葉監督の采配に感心しきっていた。",スポニチアネックス
「李海珍・孫正義同盟」核心ポストにＬＩＮＥのシン・ジュンホ,"
ネイバーの李海珍（イ・ヘジン）グローバル投資責任者（ＧＩＯ）兼ＬＩＮＥ会長とソフトバンクの孫正義会長による韓日同盟が現実化した。韓日両国の最大インターネット企業のネイバーとソフトバンク子会社のＺホールディングスは１８日にＬＩＮＥとＺホールディングス間の経営統合に向けた基本合意書（ＭＯＵ）を締結したと韓日両国でそれぞれ公示した。

両社は５０対５０の出資比率で合弁会社を新たに設立した後、この会社がＺホールディングスの共同筆頭株主になるようにするという計画を出した。Ｚホールディングスは持ち株会社として傘下にＬＩＮＥとヤフージャパンを収めることになる。年内に本契約を経て２０２０年１０月までに統合手続きを完了するという目標だ。

両社はこれまで日本国内でモバイル決済などで広く知られたライバルだった。ところが協力を超えて血と肉を分け合う経営統合を約束したのだ。ネイバーが他の上場企業と組んで合弁内社を設立するのは今回が初めてだ。グローバルＩＴ巨人であるグーグル、そしてアリババ、テンセント、バイドゥに代表される中国系ＩＴ企業の浮上に対抗し、不必要な競争を中断して日本市場から平定するというのが今回のＭＯＵの短期目標だ。

経営統合作業はネイバーの李海珍グローバル投資責任者（ＧＩＯ）兼ＬＩＮＥ会長とソフトバンクの孫正義会長が直接主導して急流に乗った。李ＧＩＯは特に日本にとどまって経営統合作業を取りまとめた。彼は６月にネイバーを「（米国・中国など）巨大グローバル会社の帝国主義に対抗して生き残った企業」「最後まで抵抗した三別抄」に例えたことがある。孫会長もやはり最近になり投資実績不振とこれによるソフトバンクの業績悪化などで日本内需での過度な出血競争は避けなければならない状況だ。統合はやはり孫会長が先にＬＩＮＥ側に提案したという。

問題はだれが実質的な経営権を握るかだ。統合会社は理事会下部組織として製品とサービスを総括する「プロダクト委員会」を置く。任期３年のプロダクト委員会初代責任者（ＣＰＯ）にはシン・ジュンホ現ＬＩＮＥ代表が選任された。委員会は統合会社全体の重要製品とサービスの企画と開発、開始と廃止、資金と売り上げ予算、人員配分などを決める。５対５同数の委員会で意見が分かれた場合には最終決定権までＣＰＯが持つ。

シン代表はＬＩＮＥを日本トップのメッセンジャーに育てた「ＬＩＮＥの父」として知られる。李ＧＩＯの右腕だ。４月からＬＩＮＥの共同代表を務めている。この日午後の日本での懇談会でも「（経営に関連した意志決定は）ＣＰＯがすべての決定権を持つ」という点を明確にした。業界では「ビッグデータや人工知能（ＡＩ）関連技術でネイバーやＬＩＮＥがヤフージャパンをリードしているだけに避けられない選択」と評価する。

ＬＩＮＥ（２０７１億円）とＺホールディングス（９６４７億円）の昨年の売り上げを単純合算すれば１兆１７１８億円だ。これは日本最大手の楽天の１兆１０１４億円を超える。月１億人を超える使用者基盤もまた日本最大だ。

ＬＩＮＥはタイと台湾、インドネシアなどでメッセンジャー１位だ。東南アジア市場攻略に向けた活動範囲がさらに広くなることになる。だがこれは両社が有機的結合をしっかりすればの話だ。ウォール・ストリート・ジャーナルはこの日「日本以外の市場ではすでに既存の強者が支配的位置を掌握している」と分析した。ウェブトラフィック分析サイトのスタットカウンターによると、アジア地域でグーグルの検索シェアは９２．６４％に達する。バイドゥが２．１３％で２位だ。
一方、日本の公正取引委員会の承認を受けることも個人情報寡占化問題で容易ではない見通しだ。",中央日報日本語版
〔東京株式〕軟調＝利益確定売りが継続（19日後場寄り付き）,"
　【第1部】後場の日経平均株価と東証株価指数（TOPIX）は、ともに軟調。小幅の円高を受けて買いが手控えられ、利益確定売りがやや優勢となっている。
　ソフトバンクGの売りが厚く、ファーストリテは大幅安。ソニーが下落し、太陽誘電は下値でもみ合い、信越化、SUMCOも値下がりしている。半面、任天堂は小幅の値上がりを維持。武田がにぎわい、小野薬、エーザイも買われている。日本通信はストップ高買い気配を唱え、後場は売買が成立していない。",時事通信
侍ジャパンにU23チームの新設を提言する,"
　今年2回目を迎えた野球の国際大会WBSC（世界野球ソフトボール連盟）プレミア12、決勝は“宿命の対決”日本－韓国戦となり、日本が初優勝して大いに盛り上がった。が、東京ドームでこの大会を取材していて、プレミア12も日本代表の侍ジャパンも、そろそろひとつの曲がり角を迎えているのではないかと感じたのも確かである。

　稲葉篤紀監督率いる現在のチームは今年のプレミア12、来年の東京オリンピック、再来年のWBC（ワールド・ベースボール・クラシック）と3年続けて野球の国際大会に出場する。つまり、“3年連続世界一”を目指すわけだ。",Wedge
"
SBが投資の米「ウィーワーク」　従業員4000人削減へ","
　シェアオフィス事業を展開し、ソフトバンクグループがすでに1兆円を投資しているアメリカのウィーワークが約4000人の従業員を削減する予定だと現地メディアが報じました。

　ウィーワークは7月から9月期の最終赤字が12億5000万ドル＝約1350億円に上ったことを明らかにしています。ニューヨーク・タイムズは経営の安定化に向けてシェアオフィス事業や運営する学校の職員など、少なくとも4000人の従業員を削減する予定だと伝えています。    ",テレ朝 news
〔東京株式〕小幅安＝利食い後は下げ渋り（19日前場）☆差替,"
　【第1部】外国為替市場での円高を背景に利益確定売りが先行し、日経平均株価は前日比32円62銭安の2万3384円14銭、東証株価指数（TOPIX）は0．50ポイント安の1700．22と、ともに小幅安だった。中国株の上昇を受けた押し目買いに下げ渋り、底堅さもうかがわせた。
　銘柄の50％が値下がりし、値上がりは45％。出来高は6億1840万株、売買代金は9242億円だった。
　業種別株価指数（33業種）は、非鉄金属、ゴム製品、鉱業などが下落し、上昇は医薬品、サービス業、不動産業など。
　個別銘柄では、住友鉱が下押し、国際帝石は軟調。トヨタが安く、ブリヂストンは売り物がち。ソフトバンクGが値を下げ、ZHDは急落した。ソニー、東エレクが下落し、太陽誘電、SUMCOは大幅安。ファーストリテが甘い。半面、田辺三菱がストップ高買い気配で、小野薬、エーザイも大幅高。リクルートHD、OLCが値を上げ、三井不は堅調。LINEがしっかり。
　【第2部】反落。東芝が売られ、音通、那須鉄は値を下げた。半面、REVOLUTIは買われた。出来高は7030万株。
　▽下げ幅一時170円超
　日経平均株価はじりじりと値を下げ、前日比171円安まで下押す場面があった。外国為替市場で1ドル＝108円50銭近辺まで円高が進んだ。米株価指数先物安も時間外取引で下落するなど、外部環境の悪化が投資意欲を圧迫した。
　米国株式市場では18日、ダウ工業株30種平均が2営業日連続で史上最高値を更新。しかし、「様子見気分が強い中で小幅に高値を更新した程度。相場の中身は強いとは言えない」（銀行系証券）との見方は少なくない。むしろ、米中貿易協議をめぐる米CNBCの「中国側は第1段階の合意に悲観的」とする報道で、「楽観ムードが後退しつつある」（同）のが実情という。
　売り注文が一巡した後は中国株の堅調な値動きを受けて押し目買いが入り、日経平均は徐々に下げ渋った。プラス圏に浮上する勢いはなかったが、高値警戒感から利益確定売りがかさみやすい中で「前日に上回った5日移動平均線（18日時点で2万3340円30銭）を維持できていれば御の字」（大手証券）との声が上がっていた。
　225先物12月きりも、下げ渋り。株価指数オプション取引は、プットがアット・ザ・マネー中心に小高く、コールは甘い。",時事通信
