title,content,media,keyword
あまりに多すぎる韓国芸能人の自殺者 ～ク・ハラが陥ったリベンジポルノ～,"
韓国社会を騒然とさせた麻薬事件…。（『韓流アイドルの深い闇』著/金山 勲より）

■ストレスを発散できない韓国のタレントたちこの記事の写真はこちら　韓国の芸能界の特徴としては、経済的なプレッシャーだけでなく、世論からの批判も彼らを苦境に追い込んでいることが挙げられる。

　小さな誤りでもメディアで大げさに報道され、これを受けてネット上での激しい誹謗中傷が拡散し、苦境に追い込まれて自らの命を絶つ例も多いのだ。

　加えて、それが家族のことにまでおよび、家族全体のプライバシーまでもネットで暴露されてしまうこともある。

　こうなると、本人が芸能人であるために家族へ迷惑をかけ、家族に対して申し訳が立たないという儒教的な価値観に陥る場合も少なからずあり、本人を心理的に追い詰めてしまうようだ。

　先に挙げた、「大紀元時報」の記事によると、江北サムスン病院精神科医のシン・ヨンチョル教授は、韓国芸能人の自殺について、発散しにくい世論からのプレッシャーが大きな原因となっているとしている。

　韓国のタレントたちは、ストレスを発散する空間がなく、いたる所でインターネットに監視されていて、ネット上で広がるデマもタレントに大きな精神的ストレスを与えているという。このような社会で、タレントたちの自由な空間は非常に狭いと、彼らは実感しているはずだと言う。

　教授の言う典型的な例として、2007年2月に俳優イ・ガンヒ宅で首吊り自殺した、同じ事務所の女優チョン・ダビンを挙げている。

　同じ名で子役から多くのドラマに出演している女優もいるので混同しやすいが、彼女は愛嬌のある笑顔で「隣の女の子」といった親しみやすいイメージで広く愛されていた。

　所属事務所と契約をめぐるトラブルや、仕事の減少などで悩んでいたとされるが、ネットに書き込まれた悪意ある誹謗中傷に苦しんでいたともされている。

　自殺前日の彼女のウェブサイトの日記には「神が私を迎えに来た」とあり、弔問に訪れた多くの共演者たちも、他人事ではないという気持ちではなかっただろうか。

　さらに話はこれだけで終わらない。チョン・ダビンはトップスターとして活躍する女優チェ・ジンシルの少女時代を描いた2000年公開の映画『燃ゆる月』に、チェ・ジンシル役で出演したが、その国民的スターだったチェ・ジンシルも、2008年10月に首吊り自殺したのである。彼女は前日にCMの撮影をし、次回作ドラマの打ち合わせをしておきながら、ネット上の悪質なデマに勝てず、浴室で自殺してしまった。

　欧米社会では、芸能人のプライベートや過ちなどは、犯罪的なことでなければ寛容に受け止め、過ち自体もエンターテイメントの一部として受け入れる素地もある。しかし韓国ではそれが誹謗中傷のネタとなるのだ。

　ハン・ソヒは一審で懲役3年、執行猶予4年、保護観察120時間、追徴金87万ウォンの刑が宣告された。彼女はこの判決を不服として控訴したが、その後控訴を取り下げ刑が確定した。

　ハン・ソヒの罪がトップより重かったのは、大麻の吸引回数が多いことや、ほかの薬物にも手を出していたことが判明したからだ。",ＢＥＳＴ ＴＩＭＥＳ,ク・ハラ
元「KARA」ク・ハラさん自殺か　手書きのメモ見つかる　自身の身辺を悲観する内容,"
　韓国のガールズグループ「KARA」の元メンバーで、24日にソウル市内の自宅で死亡した状態で発見された歌手のク・ハラさん（享年28）の訃報から一夜明けた25日、故人が自身の身辺を悲観する内容をつづった手書きのメモが見つかっていたことが明らかになった。死因は依然不明だが、ハラさんは今年5月にも自殺未遂しているため、警察は慎重に捜査を進めている。【写真】Mattが仰天の羽付きネイルアート　スポーツソウルによると、ソウル地方警察庁のイ・ヨンピョ庁長がこの日記者会見で発表したという。また、同庁長はハラさんと連絡が取れないことを心配した家政婦が24日午後6時に自宅を訪れたところ、死亡したハラさんを発見したことを明かした上で「現場の鑑識や遺族の供述から総合すると、現在に至るまで犯罪の疑いはないとみられる」と語った。

　死亡推定時刻に関しては「監視カメラ映像を確認した結果、11月24日の0時35分に帰宅したことが確認されている。その後死亡したものと推定される」と見解を述べた。

　また、遺族側の意向により江南（カンナム）ソンモ病院の葬儀場1号室にはファンとメディア関係者向けの弔問所が設置され、午後3時から故人の死を悲しむ多くのファンが弔問に訪れた。",中日スポーツ,ク・ハラ
ク・ハラさん死去にファン心痛…親友ソルリさんの死から41日目,"
KARAのメンバーだったク・ハラさんが11月24日、ソウル市内の自宅で死亡しているのが発見された。28歳だった。ハラさんは1週間前に日本でのツアーを終えたばかり。ファンはその心痛をネットにつづっている。

NHK NEWS WEBによると、ハラさんは同日の午後6時ごろに自宅で死亡しているのが見つかった。警察は自殺した可能性も含めて、死因を詳しく調べているという。

亡くなる前日、ハラさんはInstagramを更新し布団で横になった様子を撮影した画像をアップ。そして《おやすみ》とだけつづっていた。

「ハラさんは昨年、元恋人の男性から“リベンジポルノ”で脅迫を受けていたことが明らかとなりました。裁判にまで発展しましたが、男性は今年4月に容疑を否認。そして2次公判に証人として出席する直前の5月、ハラさんは自殺をはかりました。一命を取り留めましたが、近頃はうつ病に悩まされていたとも聞きます」（韓国の芸能界に詳しい記者）

そしてハラさんは韓国を離れ、日本で芸能活動を再開することとなった。6月に出演した「テレ東音楽祭2019」（テレビ東京系）でのパフォーマンス中に、ドレスの胸元がずり下がるアクシデントが発生したことも記憶に新しい。当時、戸惑う様子を見せなかったハラさんに《冷静に最後まで歌っててカッコよかった》《プロの姿を見せつけられた》と讃える声が上がっていた。

しかしその矢先である先月14日、姉妹のように親交していた元f（x）のソルリさん（享年25）が死去。そしてハラさんはInstagramのライブ配信で、亡くなったソルリさんに声を振り絞りながらこう語りかけていた。

「ソルリ、姉さんがこうしてあいさつするしかないのが申し訳なくて。そこに行って、本当にあなたがやりたいとおりに過ごして。姉さん、あなたの分まで一生懸命生きるから。一生懸命やるから」

その憔悴した姿に心配する声が上がっていたが、ハラさんは今月14日から19日まで日本ツアーを実施した。そこで見せた元気な姿に《ハラちゃんが元気でいてくれて良かった》《ハラちゃんの登場時から 涙が止まらなかったけど、ハラちゃんの笑顔が見れて 幸せ》と安堵の声も上がっていたが――。

ツアーが終了して1週間も経たないうちに、そしてソルリさんが亡くなって41日目で亡くなったハラさん。ネットでは追悼の声が上がっている。

《ハラちゃんの1週間前の笑顔を思い出して涙が出てくる。でもハラちゃんのおかげで今まで頑張れました。これからハラちゃんの分まで精一杯生きます。ハラちゃん一生愛してるよ》
《ハラちゃんは最期まで格好いいアイドルで居続けてくれた。日本を好きになってくれて、日本に来てくれてありがとう》
《国境とかそんなのこえて、本当にただ大好きだった。大好きだったよ》

またハラさんは東日本大震災の際、義援金1億ウォン（約720万円）を寄付していた。さらに16年の熊本地震の際にはファンクラブのホームページで「被災された皆様には、心からお見舞い申し上げます」「一日も早く安全な生活を取り戻し、復興がなされることを心からお祈り申し上げます」と日本語でつづった直筆のメッセージを公開していた。そのため、こんな声も上がっている。

《震災のときに助けてくれた優しいハラちゃん。日本人として全力で守りたかった。そんな力ないけど守りたかったよ》
《震災のときも寄付してくれたよね。日本でまた頑張ろうとしてたところだったのに、ファンとして守ってあげられなくてごめんね。どうか安らかに》

4月、本誌に登場し日本のファンについて「体調を崩してしばらく活動できなかったのですが、日本のファンのみなさんは『ずっと待ってるよ』と言って応援を続けてくれました」「私にどんなことがあっても信じて応援してくださいますし、ずっと一緒にいてくださった。これからもずっと一緒に歩いていきたいと思っています」と語っていたハラさん。これからはその思い出が、ずっとファンに寄り添うだろう。",女性自身,ク・ハラ
ヨンジ（元KARA）、故ク・ハラの悲報に番組の収録を欠席,"
故ク・ハラと一緒に「KARA」のメンバーとして活動していた歌手兼俳優のホ・ヨンジがMCを担当している「コメディビッグリーグ」の録画を欠席する。ハラ（KARA）のプロフィールと写真25日、tvNの関係者は「26日に予定されていた『コメディビッグリーグ』の収録にヨンジは欠席する」とし「シン・ヨンイル アナウンサーだけで進めるか、他のMCが投入されるかは決まっていない」と述べた。

「KARA」のメンバーとして一緒に活動したク・ハラの悲報で予定されたスケジュールをキャンセルしたものと思われる。ヨンジは2014年に「KARA」に合流し、既存のメンバーだったク・ハラと一緒に「マンマミーア！　」、「Cupid」などで共に活動した。

警察によると、24日午後6時9分頃、ハラがソウル江南区の自宅で遺体となって発見された。享年28歳で、警察では現在詳しい事件の経緯について調査中である。25日に警察側は故人の心境などが書かれた短いメモを発見し、遺書かどうかなどを把握していると述べた。",WoW!Korea,ク・ハラ
韓国　きょうのニュース（11月25日）,"
◇「輸出規制撤回に1か月程度必要」　GSOMIA終了前に日本が言及＝韓国政府筋

　韓国政府が日本との軍事情報包括保護協定（GSOMIA）終了を条件付きで延期する決定をしたことと関連し、日本が韓国に輸出規制関連の対話を提案する際に輸出規制の撤回までに約1か月程度の時間を要すると言及していたことが分かった。複数の政府消息筋が25日、明らかにした。韓国政府は、日本が規制撤回にかかる時間まで提示して輸出規制に関する協議に向けた対話を先に提案しておきながら、メディアを通じて一切譲歩していないとの立場を示したことに対して怒りをあらわにしている。これを受け、韓国政府は今後1～2か月程度日本の出方を見守った後、変化がないと判断すればGSOMIAの終了を積極的に検討する見通しだ。

◇輸出規制巡る韓日政策対話　韓国産業通商相「近く実施されるよう努力」

　成允模（ソン・ユンモ）産業通商部長官は、日本による輸出規制問題と関連し、「韓日両国は同問題に対する政策対話を実施することで合意した。実務接触を通じ、対話の具体的な時期、場所、議題などの調整が近く行われるよう最善を尽くす」と述べた。韓・東南アジア諸国連合（ASEAN）特別首脳会議が開かれている南部・釜山の展示コンベンションセンター、BEXCOで行った会見で、報道陣の質問に答えた。

◇韓・ASEAN特別首脳会議が開幕　文大統領「アジアは世界の未来」　

　韓国とASEANの共同繁栄と域内の平和を模索する韓・ASEAN特別首脳会議が25日、釜山のBEXCOで開幕した。文在寅（ムン・ジェイン）政権発足後、国内で開催される最大規模の国際会議となる。27日に開かれる韓・メコン首脳会議も含めると韓国とASEAN諸国が3日間にわたり協力強化策を話し合うことになる。文大統領は最初の行事として開かれた「CEOサミット」で基調演説し、「数百年続いてきた交流の歴史は、再び東アジアを世界経済の中心に押し出している。アジアが世界の未来だ」と述べ、韓国とASEANの経済協力の重要性を強調した。

◇韓国・インドネシア首脳会談　交流・協力の必要性強調

　文在寅（ムン・ジェイン）大統領はインドネシアのジョコ大統領と首脳会談を行い、両国が包括的経済連携協定（CEPA）交渉で合意に至ったことを受け、両国の交流・協力の必要性を強調した。文大統領は「韓国は東南アジアのうち唯一インドネシアと特別戦略的パートナー関係を樹立した」とし「相互の国賓訪問を含め、毎年首脳会談を行うなど、前例のない緊密で特別な関係を構築している」と述べた。

◇米軍駐留経費の負担増「受け入れてはならない」7割　世論調査

　在韓米軍駐留経費の韓国側負担を決める交渉に関する世論調査で、在韓米軍の一部撤退の可能性があるとしても米国側の大幅な引き上げ要求を受け入れてはならないとする意見が大多数だったことが分かった。世論調査会社のリアルメーターが22日、YTNの依頼で全国の成人501人を対象に行った調査の結果、「在韓米軍が削減されても米国の大幅な（駐留経費の）引き上げ要求を受け入れてはならない」とする回答は68．8％と集計された。「在韓米軍が削減される可能性があるため、受け入れる必要がある」との回答は22．3％だった。

◇死亡の元KARAク・ハラさん　近くに手書きのメモ

　2016年に解散したガールズグループKARA（カラ）の元メンバー、ク・ハラさんが24日に自宅で亡くなっていたことに関連し、クさんが自身の境遇を悲観する内容をつづった手書きのメモがリビングのテーブルの上にあったことが分かった。ソウル地方警察庁トップの李龍杓（イ・ヨンピョ）庁長が発表した。李氏によると、クさんを発見したのは家事手伝いで、鑑識結果や遺族の話などから、現時点でクさんが事件に巻きこまれた疑いはないという。",聯合ニュース,ク・ハラ
悲しみに包まれた故ク・ハラの殯所…「天では安らかに」,"
　24日に突然世を去った歌手の故ク・ハラの殯（ひん）所（出棺まで棺を安置しておく場所）が、カトリック大学ソウル聖母病院の葬礼式場に用意された。【写真】殯所に掲げられた故ク・ハラの遺影　ク・ハラは24日午後6時ごろ、江南区清潭洞の自宅で亡くなっているのが発見された。ソウル・江南警察署側は「極端な選択など、正確な死亡の経緯について調べているところ」と明かした。",朝鮮日報日本語版,ク・ハラ
ク・ハラさん死去　韓国芸能界に追悼広がる,"
【ソウル聯合ニュース】韓国ガールズグループKARA（カラ）の元メンバー、ク・ハラさん（享年28）の訃報を受け、韓国芸能界にも悲しみが広がっている。

　ガールズグループのAOA（エーオーエー）は26日午後にミニアルバム「NEW　MOON」の発売記念ショーケースを開く予定だったが、クさんの悲報を受け、25日に開催取り消しを発表した。

　ガールズグループMAMAMOO（ママム）は25日午後に予定していたツイッターの「ブルールームライブ」への出演を取り消し、クさんを追悼した。

　男性グループEXO（エクソ）も24日夜、フルアルバム「OBSESSION」（27日発売）のティーザーイメージなどの公開を見合わせると発表した。

　KBS第2テレビは25日午前に行う予定だったバラエティー番組の制作発表会を取り消した。

　クさんは24日午後、ソウル市内の自宅で遺体で見つかった。警察によると、鑑識結果や遺族の話などから、現時点でクさんが事件に巻きこまれた疑いはないという。",聯合ニュース,ク・ハラ
イ・ヨンエやオム・ジョンファら、故ク・ハラを哀悼,"
歌手ク・ハラ（享年28）の悲報が昨夜（11/24）伝えられたなか、芸能界は哀悼のムードに包まれている。故ク・ハラ側もファンの弔問を許可し、彼女の最期を見送ることができることになった。ハラ（KARA）のプロフィールと写真故ク・ハラは去る24日の午後、ソウル江南区（カンナムグ）清潭洞（チョンダムドン）にある自宅で亡くなった状態で発見された。

彼女の悲報が伝えられると、多くの芸能人が心を痛めた。25日、イ・ヨンエは「本当に心が痛い。芸能人は風船のような存在。何てことない針1本で弾けてしまう存在だ。」と哀悼の意を伝えた。

オム・ジョンファも「無気力な夜が過ぎた。夢を追って駆け抜けてきた彼女が、つらさや苦しさや切なさに耐え、頼り、渇望したのは、ステージの上の短い数分と彼女への声援と愛情だ。決してそのふたつを比べることはできない、愛だもの。」、「もろく純粋な心に傷が痛む。無気力になる。ごめん、本当にごめん」という文を掲載した。

イム・チャンジョンもこの日SNSに「見えないけれど、向こう側には私を照らしてくれる光がある。他の風に振り回されて消えてしまう雲だろうけれど。もっといい場所で」という文章で故人を追悼した。

この他にもカヒ、ホ・ジウン、DinDin、ハリス、チェ・リナ、ハン・イェスル、チョン・イル、クォン・ヒョクス、GILGUN、パク・ミニョン、ハ・ジェスク、GIRIBOYなども故人を悼む文章を掲載した。イギリスの歌手アン・マリーや、日本のアイドルグループNMB48のメンバー吉田朱里やMattなど海外のスターもSNSに追悼文を載せた。

またク・ハラは日本でも大きな活躍をしてしていたため、日本のマスコミも彼女の死亡をこぞって報道した。ク・ハラの日本での所属事務所は「最近までツアーへの意欲を示していたのに」と話した。

現在遺族はク・ハラの葬儀を全て非公開で行っている。しかし故ク・ハラ側はファンとマスコミ関係者のために、ソウル盤浦洞（パンポドン）のソウル・江南聖母病院葬儀場1号室に弔問所を設置し、25日の午後3時から27日の夜12時までを弔問期間に設定した。

また警察によるとク・ハラの死亡現場には、自筆で作成されたとみられるメモが発見された。自宅の居間の机の上で発見されたメモの内容は、具体的には明らかにされていない。しかし警察側は「自身の身の上を悲観する内容であった。内容は非常に短いもので、お伝えできることがない。」と明らかにしたうえで、「他殺の可能性など犯罪の疑いに関しては、現在までは把握していない。」と付け加えた。

ク・ハラは2008年に「KARA」のメンバーとしてデビューし、人気を博した。ク・ハラがグループに加入してから「Rock U」、「Good Day」、「Pretty Girl」、「Honey」、「Mister」、「Lupin」などヒット曲を連発し、日本での活動も活発に行っていた。2015年にはソロデビューを果たし、「Choco chip Cookies」などを発表し多くのドラマのOSTにも参加した。彼女は歌手活動のほかにもSBSドラマ「シティーハンター in Seoul」など女優としての活動も並行し、バラエティー番組では明るく元気な魅力を見せていた。",WoW!Korea,ク・ハラ
"
「KARA」元メンバーのク・ハラさん 自宅に遺書か","
24日に亡くなっているのが見つかった、韓国のガールズグループ「KARA」の元メンバー、ク・ハラさん(28)。

ソウル市内の葬儀場には、祭壇が設けられ、多くのファンが最後の別れを惜しんでいる。

日本人留学生は「驚きましたし、信じられない気持ちです」と話した。

自宅からは、身辺を悲観する手書きのメモが見つかり、警察は、自殺の可能性が高いとみて調べている。

(フジテレビ)    ",Fuji News Network,ク・ハラ
元KARAハラさん自殺？「ネット中傷の闇」,"
　日本でも人気を博した韓国の女性グループ「ＫＡＲＡ」の元メンバーのク・ハラさん（２８）がソウル市内の自宅で死亡しているのが見つかり、日韓両国に衝撃が走っている。韓国警察当局は自殺の可能性も含め、状況を調べている。今年５月に自殺未遂騒動を起こしたハラさんだったが、翌６月に日本の芸能プロダクションと契約し、活動拠点を日本に移していた。今月１４日から１９日まで日本４都市でライブツアーを行い、元気な姿を見せていたのだが…。いったいハラさんの身に何があったのか？

　ＫＡＲＡのメンバーとして、２０１１年大みそかのＮＨＫ「紅白歌合戦」にも出場したハラさんは、２４日午後６時ごろ、ソウル市内の自宅で死亡しているのが見つかった。韓国芸能界に詳しい関係者によると、自殺とみられている。亡くなる前日にはインスタグラムに、ベッドに横になって笑顔の写真に韓国語で「おやすみ」と添えて投稿していた。

　活躍の裏ではトラブルも発覚していた。昨年、元交際相手との間に、ＤＶやリベンジポルノ問題を抱えていることが発覚し、裁判ざたになっていた。また、インターネット上での過剰な中傷も重なり、今年５月には自宅で自殺未遂騒動を起こしていた。

　一命を取り留めたハラさんは日本で再起を果たした。６月に日本の芸能事務所「プロダクション尾木」と契約し、９月には再始動第１弾シングル「Ｍｉｄｎｉｇｈｔ　Ｑｕｅｅｎ」の配信がスタート（ＣＤリリースは今月１３日）。今月１４日の福岡を皮切りに、１９日の東京まで４都市６公演のツアーを“完走”したばかりだった。

　６日には都内でＣＤリリースイベントに登場し「皆さんの存在が言葉にできないほどうれしいです。再始動ですけど、皆さんにＨＡＲＡ（芸名）の姿をいっぱい見せたいです。日本での活動もいっぱいやります」「東京ドーム（公演）。ＫＡＲＡの時に１回やったことがあります。ＨＡＲＡ（ク・ハラ）としてドームツアーをやりたい」などと前向きに語ったほか、日本で牛丼店に通っていることなどを元気に明かしていた。

　ツアー中のハラさんの様子について、関係者は「すごく元気だった」という。それだけに「信じられない」と言葉を失った。とても数日後に亡くなるとは思えない様子だったという。

　韓国に帰国したのは亡くなる２日前の２２日。韓国芸能界に詳しい関係者は「ハラさんの関係者もどうしてこういうことになったのか、はっきりとは原因をつかめていない。ただ言えることは、日本ではいつも元気に過ごしていたハラさんだが、ここ最近は韓国に戻るといつも精神的に落ち込んでいた。どうしてもネットの中傷などを目にしてしまい、それで気がめいってしまったようだ」と証言した。

　先月１４日には、ハラさんの親友で女性グループ「ｆ（ｘ）」の元メンバー、ソルリさん（享年２５）が亡くなった。自殺の可能性が伝えられている。その翌日、ハラさんはインスタでライブ配信を行い「ごめんね。ソルリの分まで頑張って生きるから」と涙を流しながら、憔悴しきった様子で話していた。

　つい数日前にライブでハラさんの元気な姿を見た日本のファンも大きなショックを受けている。

【標的になりやすい低迷アイドル】ハラさんの死について、韓国事情に詳しい文筆人の但馬オサム氏はこうみている。

「彼女は以前も自殺未遂騒動を起こしており、そのときは、かつての交際相手の男性タレントから暴行やリベンジポルノの被害に遭って重度のノイローゼ状態にあったようです。彼女が眼瞼下垂の手術をしたことを整形手術だとして、心ないファンからＳＮＳ上で随分叩かれていたようです」

　韓国ではＳＮＳで特定の有名人に集中砲火的に罵詈雑言を浴びせることがよくある。

「有名人に対するねたみと憂さ晴らしですが、これを苦にして自殺したのがハラさんの親友のソルリさんでした。韓国のネットでは超売れっ子はあまり標的にはならず、低迷したアイドルや女優が被害者になることが多い。アイドルや女優に完璧を求める韓国の風潮とも無縁ではないでしょう」

　さらに「近年はアイドルグループもサイクルが早く、次々と出ては消えの使い捨て状態。アイドルたちの抱えるストレスは並大抵のものではないでしょう」という芸能界事情も付け加えた。",東スポWeb,ク・ハラ
