title,content,media,keyword
災害に遭ったとき、生活再建にはいくらかかる？ 事前に知っておきたい、公的支援について,"
台風による浸水や土砂災害、地震による津波や建物の倒壊など、日本は災害大国として、大きな被害を受ける可能性があります。生活を再建するためには、どのくらいお金がかかるのでしょうか？

また、公的な支援は、いくらぐらい受けられるのでしょうか？ 今回は、万が一のときに備えて、災害に関わるお金についてチェックしていきましょう。",ファイナンシャルフィールド,地震
タワマンの電気設備、浸水対策の指針作成へ　国交省方針,"
　今秋の台風による大雨で高層マンションに停電や断水が起きたことを受けて、国土交通省と経済産業省は、タワーマンションやオフィスビルの電気設備の浸水対策について指針を設ける。関連する業界団体との検討会を２７日から始めて、年度内にまとめる方針だ。

　建物の構造基準などを定めた建築基準法には現在、地震や火災を防ぐルールはあるが、浸水に関する規定はない。しかし今回、地下に置かれた電気設備に浸水して停電などが起き、エレベーターやトイレが使えなくなるなどの被害が相次いだため、両省は浸水対策にもルールが必要と判断した。",朝日新聞デジタル,地震
"
ローマ教皇、東京でのメッセージは","
　東京訪問を多くの人が待ち望んだローマ教皇フランシスコ。最初に語ったのは・・・。

　「（地震、津波、原発事故の）三大災害後の復興と再建と継続的な仕事においては、多くの手と多くの心をあたかも、ひとつであるように一致させなければなりません」（ローマ教皇フランシスコ）

　東日本大震災の被災者をいたわった教皇。その場には福島県から東京に避難したものの、原発事故を理由にいじめにあったことから、今年３月、現状を記した手紙を教皇に手渡した高校生の鴨下全生さん（１７）も。

　その思いに応えるように教皇は・・・
　「地域社会のつながりが再び築かれ、安全で安心した生活ができるようにならなければ、福島の事故は完全には解決されない」（ローマ教皇フランシスコ）

　長崎・広島では核兵器廃絶の必要性を強く訴えましたが、人々の生活に惨禍をもたらした原発にも苦言を呈しました。

　皇居を訪問した際は、天皇陛下が、スペイン語で「お目にかかれて嬉しく思います」と挨拶。２０分ほどの和やかな会見では、天皇陛下が、教皇の長崎・広島への訪問や被災者たちとの面会に謝意を表されました。

　気さくな人柄がにじんだのは、若者の悩みを聞く機会に、「差別やいじめにどう向き合うべきか」と問われたこの時。
　「『太っている』と言われたら、『おまえのようにやせてる方がまずいんだ』と言ってやりなさい」（ローマ教皇フランシスコ）

　教皇は夕方、東京ドームで５万人規模のミサに臨みました。

　弱者に寄り添い慈しみの視線を向ける姿に感銘を受け、ミサを心待ちにしていた人がいます。
　「殺人と覚醒剤以外のさまざまな犯罪をしてきました」（ＮＰＯ法人マザーハウス 五十嵐弘志理事長）

　受刑者や出所者の社会復帰を支援するＮＰＯ法人の代表を務める五十嵐さん。元受刑者が社会に受け入れられない現状に悩んでいたところ、受刑者の足を洗う教皇の姿に衝撃を受け、手紙を送りました。

　そして１か月後、教皇から返信があったのです。
　「日本の受刑者のために私が祈っているということを伝えて下さい」

　苦しみを抱える人々に分け隔てなく接する教皇フランシスコ。「日本では社会的に孤立している人が少なくない」と指摘し、こう語りかけました。
　「孤立し、閉ざされて息ができずにいる人々。この対極にあるのは、分かち合いの精神です」（ローマ教皇フランシスコ）
（25日17:27）    ",TBS News i,地震
ク・ハラさん死去にファン心痛…親友ソルリさんの死から41日目,"
KARAのメンバーだったク・ハラさんが11月24日、ソウル市内の自宅で死亡しているのが発見された。28歳だった。ハラさんは1週間前に日本でのツアーを終えたばかり。ファンはその心痛をネットにつづっている。

NHK NEWS WEBによると、ハラさんは同日の午後6時ごろに自宅で死亡しているのが見つかった。警察は自殺した可能性も含めて、死因を詳しく調べているという。

亡くなる前日、ハラさんはInstagramを更新し布団で横になった様子を撮影した画像をアップ。そして《おやすみ》とだけつづっていた。

「ハラさんは昨年、元恋人の男性から“リベンジポルノ”で脅迫を受けていたことが明らかとなりました。裁判にまで発展しましたが、男性は今年4月に容疑を否認。そして2次公判に証人として出席する直前の5月、ハラさんは自殺をはかりました。一命を取り留めましたが、近頃はうつ病に悩まされていたとも聞きます」（韓国の芸能界に詳しい記者）

そしてハラさんは韓国を離れ、日本で芸能活動を再開することとなった。6月に出演した「テレ東音楽祭2019」（テレビ東京系）でのパフォーマンス中に、ドレスの胸元がずり下がるアクシデントが発生したことも記憶に新しい。当時、戸惑う様子を見せなかったハラさんに《冷静に最後まで歌っててカッコよかった》《プロの姿を見せつけられた》と讃える声が上がっていた。

しかしその矢先である先月14日、姉妹のように親交していた元f（x）のソルリさん（享年25）が死去。そしてハラさんはInstagramのライブ配信で、亡くなったソルリさんに声を振り絞りながらこう語りかけていた。

「ソルリ、姉さんがこうしてあいさつするしかないのが申し訳なくて。そこに行って、本当にあなたがやりたいとおりに過ごして。姉さん、あなたの分まで一生懸命生きるから。一生懸命やるから」

その憔悴した姿に心配する声が上がっていたが、ハラさんは今月14日から19日まで日本ツアーを実施した。そこで見せた元気な姿に《ハラちゃんが元気でいてくれて良かった》《ハラちゃんの登場時から 涙が止まらなかったけど、ハラちゃんの笑顔が見れて 幸せ》と安堵の声も上がっていたが――。

ツアーが終了して1週間も経たないうちに、そしてソルリさんが亡くなって41日目で亡くなったハラさん。ネットでは追悼の声が上がっている。

《ハラちゃんの1週間前の笑顔を思い出して涙が出てくる。でもハラちゃんのおかげで今まで頑張れました。これからハラちゃんの分まで精一杯生きます。ハラちゃん一生愛してるよ》
《ハラちゃんは最期まで格好いいアイドルで居続けてくれた。日本を好きになってくれて、日本に来てくれてありがとう》
《国境とかそんなのこえて、本当にただ大好きだった。大好きだったよ》

またハラさんは東日本大震災の際、義援金1億ウォン（約720万円）を寄付していた。さらに16年の熊本地震の際にはファンクラブのホームページで「被災された皆様には、心からお見舞い申し上げます」「一日も早く安全な生活を取り戻し、復興がなされることを心からお祈り申し上げます」と日本語でつづった直筆のメッセージを公開していた。そのため、こんな声も上がっている。

《震災のときに助けてくれた優しいハラちゃん。日本人として全力で守りたかった。そんな力ないけど守りたかったよ》
《震災のときも寄付してくれたよね。日本でまた頑張ろうとしてたところだったのに、ファンとして守ってあげられなくてごめんね。どうか安らかに》

4月、本誌に登場し日本のファンについて「体調を崩してしばらく活動できなかったのですが、日本のファンのみなさんは『ずっと待ってるよ』と言って応援を続けてくれました」「私にどんなことがあっても信じて応援してくださいますし、ずっと一緒にいてくださった。これからもずっと一緒に歩いていきたいと思っています」と語っていたハラさん。これからはその思い出が、ずっとファンに寄り添うだろう。",女性自身,地震
＜北海道＞白糠町　リアルな映像で避難訴え,"
　こちら、衝撃的な映像です。街に押し寄せる津波…道東の白糠町が大津波の被害を想定して作ったＣＧの映像です。道東沖の巨大地震でどんな被害が起きる恐れがあるのでしょうか。
　街を飲み込む津波。白糠町が２０１９年およそ５００万円をかけて制作したイメージ映像です。津波が実際の街を襲い、住宅や車が流される様子も描かれています。白糠町の主要産業は漁業。町は海のすぐ近くに立ち並んでいます。道などによると、道東沖の千島海溝で地震が発生した場合、白糠町ではおよそ２０メートルの大津波が押し寄せると予想されています。
　佐藤裕樹記者「海岸から１キロ離れた住宅街では、地震発生からわずか３０分ほどで津波が到達する予想です」住宅街にものすごい速さで押し寄せる津波。海底の砂や泥を含み、がれきや車などの漂流物も流れてくる様子がイメージ映像で表現されています。
　佐藤裕樹記者「白糠町には海から山に向かう道路が限られているため、地震発生後に交通渋滞が予想されています」
　電柱の倒壊などで車が立ち往生し逃げ遅れる恐れがあることから白糠町は徒歩での避難を呼びかけています。自分たちが住む街が津波に飲み込まれるこのイメージ映像。白糠町は町内会などの集まりで上映しているほか、ホームページでも公開しています。
　白糠町　日の出１区町内会　染谷仁也会長「自分の知っている町の家が流されるのを見て本当に危険な状況だとよく分かった。実際にこうなると分かれば皆さん避難を心がけてくれると思う」
　イメージ映像は大雨による浸水被害を想定したものもあり、映像をきっかけに早めの避難を心がけてほしいとしています。
　白糠町地域防災課　菊原秀雄課長「動画を見ることで初めて『あっ、怖い』と、私の家がこれくらいの水にのまれてしまうんだと、早く逃げないといけないという意識を持ってもらえている。新しいツールを手に入れたのでより活用していきたい」",HTB北海道テレビ放送,地震
橋本愛、千葉繁ら出演の熊本アニメ「なつなぐ！」1月放送開始　初の自治体制作テレビシリーズ,"
　［映画.com ニュース］　2016年に発生した熊本地震からの復興プロモーションの一環として熊本県が制作したテレビアニメ「なつなぐ！」が、2020年1月から放送されることが決まった。自治体がテレビアニメ1クール全12話を制作し地上波放送するのは、国内初の試みとなる。同県出身の女優・橋本愛や声優の千葉繁らが出演している。

　同作は、メインキャストやスタッフに熊本県出身者を起用した「オール熊本アニメ」として制作。主人公の欅夏奈（けやきなつな）役を橋本が務め、八百屋を営む千葉シゲ蔵役を千葉、シゲ蔵の娘で地元の中学生の千葉いずみ役を「Wake Up, Girls!」の青山吉能が担当する。いずれも熊本県の出身者で、同県の復旧・復興という目的に賛同しての出演となる。監督は、熊本市在住で「名探偵コナン」（絵コンテほか）などに参加した本多康之、アニメプロデューサーは、同県出身で「おとなの防具屋さん」（クリエイティブ・プロデューサー）を手がけた福留俊が務める。

　「なつなぐ！」は、MXテレビ（東京ほか）、熊本放送で20年1月放送開始。アニメ・マンガ配信アプリ「GANMA」での無料配信も行われる。",映画.com,地震
中学生が列車から避難　みなべ町で津波想定し訓練,"
　和歌山県みなべ町を通るＪＲ紀勢線で２５日、巨大地震による津波を想定し、中学生が列車から高台へ避難する訓練があった。町内での列車からの避難訓練は初めて。

　地域からの要望もあり、町がＪＲ西日本に協力を依頼し、実施することになった。４中学校の生徒約３７０人のほか、自主防災会関係者や町職員らも参加した。

　４両編成の臨時列車が田辺市のＪＲ紀伊田辺駅から和歌山市方面へ走行中、南海トラフ巨大地震が発生し、南部駅手前のトンネル付近で停車したと想定した。

　生徒は、車内で乗務員から列車からの飛び降り方の説明を聞き、緊急停車して開いた扉から乗務員の誘導に従って線路に飛び降り、約２００メートル先にある高台の埴田医王寺（標高約３５メートル）に向けて駆け上がった。南部中２年の森西希光君は「体験したことがなかったので、できてよかった」と話した。

　豊田泰猛町教育長は「家族とも避難について話し合ってもらいたい。最善の行動を取ってもらえるよう、町としても訓練を重ねていきたい」、道本隆文紀伊田辺駅長は「高校に進学すると電車通学する生徒もいるだろうし、津波浸水域もあるので、万が一の時には、若い人たちが率先避難者になってくれることを期待したい」と話した。",紀伊民報,地震
災害時には相互支援　田辺市で御三家付家老サミット,"
　「第５回徳川御三家付家老サミット」（実行委員会主催）が２３日、和歌山県田辺市文里２丁目のホテルであった。徳川御三家付家老の城下町という共通の歴史を持つ５市の首長らが集まり、防災の相互支援体制や歴史を生かしたまちづくりについて話し合った。

　サミットには紀伊安藤家の田辺市、紀伊水野家の新宮市、尾張成瀬家の愛知県犬山市、尾張竹腰家の岐阜県海津市、水戸中山家の茨城県高萩市の５市の首長らが出席した。

　「災害と地方自治～備えあれば憂いなし」をテーマにしたパネルディスカッションでは、各市が進めている防災施策などについて議論した。

　田辺市の真砂充敏市長は、広い市域のため地震や津波、洪水、土砂崩れなどあらゆる自然災害と隣り合わせだと強調した上で、小中学校での防災教育に特に力を注いでいると述べた。災害に強いまちづくりを進めるには、地域のコミュニティー力を高める必要があるとし「地域の自治を再構築するための施策を考えている」と述べた。

　新宮市の田岡実千年市長は、台風などに備えた事前防災行動計画（タイムライン）協定を国や県、和歌山地方気象台と連携して取り組んでいるとし「災害で一人の犠牲者も出さない」との思いを語った。

　海津市の松永清彦市長や犬山市の江口俊也副市長は防災リーダーの養成や事前防災の必要性などについて語った。

　５市は１０年前に「大規模災害時における相互応援に関する協定書」を締結。高萩市の鈴木真人副市長は東日本大震災時に協定に基づき支援を受けたことを紹介し「支援を頂き復旧がスムーズになった」と謝辞を述べた。

　サミットではこのほか、和歌山信愛大非常勤講師の小山誉城さんが「安藤直次と徳川頼宣―安藤家田辺入城から４００年」と題して講演した。

　御三家は徳川家康が幕藩体制の強化のため、第９子義直、第１０子頼宣、第１１子頼房をそれぞれ尾張、紀伊、水戸に配置。藩政を支えるため、安藤直次ら自らの側近５人を付家老とした。５家は１８６８年に維新政府から独立が認められ廃藩置県までの間、大名として扱われた。

　サミットは２００９年の第１回を高萩市、１０年に犬山市、１２年に田辺市と新宮市、１３年に海津市で開催。開催地を一巡した後は、節目の年に開催することを申し合わせていた。紀伊藩付家老安藤家の田辺入城４００年を記念して、６年ぶりの開催となった。",紀伊民報,地震
東京・文京区の肥後細川庭園で復興の願いを込めたライトアップ,"
　神田川のほとり、目白台の台地を背にする一帯は江戸時代末期、熊本藩54万石の藩主、細川氏の下屋敷があった。細川家の学問所として使われたと思われる松聲閣（しょうせいかく）の前には池泉回遊式庭園が広がる。松に雪吊りが施され冬支度を整えた庭が今、紅葉の見頃を迎えている。夜になると雪吊りや紅葉の森がライトアップされ、「竹あかり」のオブジェとともに都会の夜を彩る。",旅行読売,地震
長年の「鉄道の課題」は2020年代に解決できるか,"
鉄道ジャーナル社の協力を得て、『鉄道ジャーナル』2020年1月号「2020年代　鉄道技術はなにと向き合うのか」を再構成した記事を掲載します。

　きたるべき2020年を機に、これからの鉄道に目を向けてみる。近未来に向けた鉄道の技術分野には、どのような課題があるのか。このテーマについて、研究開発に取り組んでいる鉄道総合技術研究所(鉄道総研:東京都国分寺市)を訪問した。

■想定外が増えた自然災害に立ち向かう",東洋経済オンライン,地震
