「オークリー」がソフトバンク、阪神などプロ野球9球団とサングラスをコラボ,"
アメリカのスポーツ＆ライフスタイルブランド「オークリー（OAKLEY）」は昨年、プロ野球の北海道日本ハムファイターズ、阪神タイガース、広島東洋カープ、横浜DeNAベイスターズとのコラボレーションによるサングラス第1弾を発売したのに続き、千葉ロッテマリーンズ、東京ヤクルトスワローズ、東北楽天ゴールデンイーグルス、中日ドラゴンズ、福岡ソフトバンクホークスの5球団との第2弾を「オークリー」ストア、「オークリー」ECサイト、「オークリー」の正規取扱店などで順次発売した。価格は2万8000円。これにより、全12球団のうち9球団とのコラボ商品を手掛けることになる。【画像】「オークリー」がソフトバンク、阪神などプロ野球9球団とサングラスをコラボ",WWD JAPAN.com,ソフトバンク
楽天、ヤフー対抗策？ ドコモ「ギガホ」でAmazonプライム1年無料、12月1日スタート,"
NTTドコモは「ドコモのプランについてくるAmazonプライム」を12月1日提供開始すると発表しました。文字通り、Amazonプライム（通常であれば年会費は税込4,900円）が1年間無料で利用できるというものです。対象となるのは「ギガホ」契約者ですが、スタートアップキャンペーン中につき「ギガライト」契約者も対象となります。【写真】ギガホでアマプラ無料、適用にはWebで事前エントリーが必要一体どんな内容なのか？

「ドコモのプランについてくるAmazonプライム」の対象となるのは、すでに契約中の利用者を含む「ギガホ」「ギガライト」の個人名義のユーザー、かつdポイントクラブの会員。申し込みは、ドコモの特設サイトでdアカウント認証を実施後、エントリーページから行います。現在、Amazonプライム会員であれば、会員期間の終了日が1年間延長されるとのこと。なお本特典の適用終了後、Amazonプライムの会員資格は自動的に更新され、以降はユーザーの負担になるため、延長を希望しない人は解約手続きが必要です。

発表会に登壇したNTTドコモ 代表取締役社長の吉澤和弘氏はプレゼンの冒頭、これまでのドコモとAmazonの協業について振り返りました。大きな連携となったのが、Amazonにおける支払い方法に「d払い」が対応したこと。吉澤社長は「2018年12月に対応、dポイントを利用できる場所として好評いただいています」と紹介しました。

料金プランの魅力「値引きではなく付加価値で」

また、2020年6月に導入した新料金プランについても、進捗の報告がありました。契約者数は順調に伸びており、2019年12月には1,000万人を超える予想。ドコモでは“19年度末に1,700万人到達”を直近の目標に定めています。

そのうえで「端末の値引き競争ではなく、今後は魅力的なサービスを付加することで料金プランを磨き上げていくことが必要だと考えています」と吉澤社長。そしてAmazonのサービスと連携することで、新たな価値を提供していきたい、と意気込みます。

吉澤社長は「ドコモの料金はそのままで、Amazon様のサービスもお楽しみいただけます。ギガホ契約者だけでなく、当面の間、データ通信の利用の少ない方に向けたギガライト契約者もエントリーいただけます。ショッピングにおけるお急ぎ便や、到着日時の指定はもちろん、ビデオ、ミュージックなどのエンタメまで、Amazon様の便利な特典のすべてをご利用いただけます」とアピール。

なお、Amazonの決済でd払いを利用するとdポイントを通常の5倍還元する「d払いキャンペーン」も、2019年12月1日から2020年3月31日まで実施するとのアナウンスがありました。

ゲストで登壇した、アマゾンジャパンのチャン社長は「今回の取り組みを通し、ドコモの皆様にサービスをご提供できることを大変嬉しく思います。今後も、お互いのお客様により良い価値を提供できるように努力してまいります。Amazonでは今後もAmazonプライムに投資し、お客様体験の向上に努めていきます」と抱負を述べました。

ドコモ×Amazonで他社に対抗する？

発表会では、質疑応答の時間が設けられ、吉澤社長、マーケティング部長の野田浩人氏らが記者団の質問に回答しました。

ドコモではdショッピングも提供しています。Amazonとサービスが競合してしまう懸念はないのでしょうか。これについて野田氏は「dショッピングもありますが、幅広いお客様にフィットするAmazonのサービスと連携することで、お客様にさらなる価値を提供できるのではないか、と判断しました」と説明。吉澤社長も「もっと幅広い、すべての分野に渡る商品となると、Amazonさんのサービスが魅力的。ドコモの契約者にとっても、大きなメリットになる。競合ということではなく、良いところ、メリットを享受してもらえれば」と補足しました。

吉澤社長「Amazonとの連携は自然な流れ」

いまモバイル業界ではKDDIが楽天と組み、またソフトバンクには傘下のヤフーがあるように、キャリアとeコマースの協業が活性化しています。これを踏まえ、ドコモはAmazonと組む考えか、という質問に吉澤社長は「どこかと協業する、ということを強調しているわけではありません。ただ、d払いの決済分野で他社さんとの連携が強くなる中で、今回、このような形でAmazon様と連携したことは、ある意味で自然な流れと考えています」と答えるにとどまりました。

今回の取り組みは1年後も継続していくのか、という質問には「お客様の反応などを見ながら考えていきたい」、動画コンテンツの開発など別の分野でAmazonと連携する予定については「決まっていることがあるわけではありませんが、相互のお客様の価値を向上できることに努力していきます。決まった段階で、発表させていただければ」と回答。ちなみに年会費4,900円は、ドコモがAmazonに支払う契約になっているとのことです。

映像コンテンツがますます充実することが予想されるが、動画見放題の”ゼロレーティング”の料金プランを導入する考えはあるのか、という質問には「はい。念頭になくてはいけないかな、と思っています。ただ、いま総務省でも研究会の議論が進んでいる。ドコモでは、見放題プランをすぐに始める予定は、今のところありません。議論の状況などを見ながら検討していく。ただ、今後5G時代になるとデータの利用容量が大きくなる。使ったパケット量に比例して料金が高くなるのではお客様に許容されない。そこでやはり、アンリミテッドなどの考えも視野に入ってくる」と吉澤社長。取り組みの方向性など、5Gのローンチ前に発表することになるのでは、と話していました。",マイナビニュース,ソフトバンク
NTTドコモ、iPhone 11の販売に苦戦！　ソフトバンク、auは販売台数は好調！　スマートフォン売れ筋ランキング,"
　「BCNランキング」2019年11月23日の日次集計データによると、スマートフォンの実売台数ランキングは以下の通りとなった。

1位　iPhone 11 64GB(SoftBank)（アップル）
2位　iPhone 11 128GB(SoftBank)（アップル）
3位　iPhone 11 64GB(au)（アップル）
4位　AQUOS sense3 SH-02M（シャープ）
5位　iPhone 11 128GB(au)（アップル）
6位　iPhone 11 Pro 256GB(SoftBank)（アップル）
7位　iPhone 8 64GB(au)（アップル）
8位　arrows U 801FJ（富士通コネクテッドテクノロジーズ）
9位　iPhone 11 64GB(NTT docomo)（アップル）
10位 AQUOS sense3 SHV45（シャープ）
 

＊「BCNランキング」は、全国の主要家電量販店・ネットショップからパソコン本体、デジタル家電などの実売データを毎日収集・集計しているPOSデータベースで、日本の店頭市場の約4割（パソコンの場合）をカバーしています。",BCN,ソフトバンク
ソフトバンク系企業、遠隔診療車両を開発　来月試験運行,"
　ソフトバンク（ＳＢ）とトヨタ自動車が共同出資する「モネ・テクノロジーズ」は２６日、医療機器大手のフィリップス・ジャパンや長野県伊那市と協業し、医師による診察を遠隔から受けられる「ヘルスケアモビリティ」を開発したと発表した。同市で来月１２日からテスト運行を開始し、オンライン診療などの有効性を検証する。

　トヨタの「ハイエース」をベースにした車両には、テレビ電話や心電図モニター、血糖値測定器といった医療機器を搭載。看護師が車両で患者の自宅を訪問し、車両内の機器を通じて医師が遠隔地から診察、看護師が医師の指示に従い検査や必要な措置を行う。

　モネの配車プラットフォームと連携し、スマートフォンアプリから配車の予約をすることなどもできる。今後は搭載する機器の種類や診療の内容を拡充していきたい考えだ。

　モネの宮川潤一社長（ＳＢ副社長）は「この車は第一歩だが、本当は移動型クリニックや移動型調剤薬局までやり遂げたい」とビジョンを語った。自動運転車になれば、車内でできることが増えると見ており「過疎地の医療を作り上げていきたい」と意気込む。

　昨年９月に設立したモネではＳＢとトヨタを中核に次世代移動サービス「ＭａａＳ（マース）」の開発を推進。協業のために組織したコンソーシアムには小売りや物流、金融、不動産、医療福祉、飲食業など４００社以上が参加する。幅広い業種のデータを掛け合わせ、移動式の店舗やクリニックといった新たなサービスの創出を狙う。

　モネではこれまでオンデマンド通勤シャトルなど既存車両を用いた配車サービスの実証実験を手がけてきたが、ＭａａＳ用の車両を企画してサービスを提供するのは今回が初という。",産経新聞,ソフトバンク
車で訪問、病院とつなぎ治療　トヨタなどが遠隔医療実験,"
　ソフトバンクやトヨタ自動車が出資して自動運転などに取り組むモネ・テクノロジーズと、ヘルスケア機器のフィリップス・ジャパンが２６日、１２月から長野県伊那市でオンライン診療の実証実験を始めると発表した。高齢化が進む一方、医師が不足する地域で、医療機器を載せた車両を使った遠隔医療の有効性や問題点を検証する。【写真】医療機器を載せた車両の前に立つフィリップス・ジャパンの堤浩幸社長（左）とモネ・テクノロジーズの宮川潤一社長＝２０１９年１１月２６日、東京都千代田区　オンライン診療に使う車両の開発にモネが協力した。ベッドのほか、血糖値や血圧の測定器、心電図モニターなどを備え、看護師が乗って患者宅を訪問。テレビ電話で病院にいる医師とつなぎ、診療する仕組みだ。

　フィリップス、モネ、伊那市の３者は、２０２１年３月まで実証実験に取り組む。その後、開業医や中核病院と連携を深め、事業のモデルケースを確立したい考え。将来的には自動運転でこうした医療サービスを提供することも視野に入れる。（井上亮）",朝日新聞デジタル,ソフトバンク
ドコモ、アマゾンプライムを１年無料に　動画強化で連携,"
　ＮＴＴドコモと米アマゾン・コムの日本法人「アマゾンジャパン」は２６日、ドコモが６月から開始した新料金プランの契約者に対し、アマゾンの電子商取引（ＥＣ）の送料が無料になったり、映画や音楽コンテンツが楽しめたりする定額サービス「アマゾンプライム」を１年間無料にすると発表した。第５世代（５Ｇ）移動通信システムの商用化を見すえ、動画コンテンツを充実させる狙いもある。スマートフォン決済などでも連携が強まれば、５Ｇ時代の陣営作りが加速する可能性もある。

　１２月から申し込みを受け付ける。ドコモの新料金プランのうち、大容量プラン「ギガホ」での割引は申込期限を設けないが、小容量の「ギガライト」向けは一時的なキャンペーンとする。相互の会員数を増加させるとともに、アマゾンのＥＣに導入されているドコモのスマホ決済「ｄ払い」の利用拡大につなげる。

　アマゾンの定額サービスには、映画や音楽などの配信サービスも含まれているのが特長だ。高速大容量化する５Ｇの商用化が進めば、動画視聴が一気に増加すると見込まれている。ドコモは１２月から新料金プランの契約者向けに米ウォルト・ディズニーの日本法人と提供している動画配信サービスを１年間無料にするなど、動画コンテンツを強化している。ドコモの吉沢和弘社長は「サービスと料金が融合した形が、５Ｇの料金体系の柱になっていく」と説明した。

　ドコモにとって、アマゾンとの連携はＥＣとスマホ決済、コンテンツを強化できる“一石三鳥”の一手だ。吉沢氏は「相互の顧客価値を向上できるいろいろな可能性がある」とアマゾンとの協力をさらに深める姿勢をみせる。

　動画配信をめぐっては、ＫＤＤＩ（ａｕ）が米動画配信大手ネットフリックスの料金が含まれた大容量プランを提供。米フェイスブックとも５Ｇ向けの映像コンテンツを協同開発する。ＥＣでは楽天と配送網を共有するなど、協力関係にあり、スマホ決済の加盟店開拓などでも連携している。

　ソフトバンクは、大容量プランで米動画配信大手フールーやユーチューブでのデータ通信量を加算しない「ゼロレーティング」の対象にするなど、動画サービスに注力。傘下のヤフーと無料通信アプリのＬＩＮＥ（ライン）の統合に動き出しており、合従連衡を進めている。",産経新聞,ソフトバンク
闇株新聞は「ヤフー（Zホールディングス）とLINEの経営統合」どう見たか？,"
11月18日にヤフーとLINEの経営統合が発表された。このヤフーは持株会社であり、上場会社のZホールディングス（以下、ZHD）と同義である（厳密には、ヤフー株式会社は10月1日付けでZHDへと社名を変え、同時に事業部門を分割して傘下に二代目といえるヤフー株式会社を100％子会社として設立している）。⇒【画像】ヤフーとLINE統合後の予定（統合発表資料）　両社の経営統合については11月13日夜に一部報道機関が伝え（参照：日経新聞）、両社も翌14日には「経営統合を検討している」ことだけは認めていた。それを受けて、14日にはZHDの株価が459円、LINEが15日には5400円の高値をつけていた。

　ただ、18日に発表された経営統合案は「和製プラットフォーム企業」としてのシナジー効果が強調されていたが、何よりもその具体的な経営統合方式の「わかりづらさ」が気になった。その経営統合方式を中心に解説する。",HARBOR BUSINESS Online,ソフトバンク
ペイペイ・ＬＩＮＥペイが一強化も　スマホ決済競争,"
　スマートフォン決済をめぐる競争が新しい局面に入りつつある。ヤフーを傘下に収めるＺホールディングス（ＨＤ）とＬＩＮＥ（ライン）の経営統合合意で、両社のスマホ決済連合は実績と成長性を兼ね備えた存在になり、シェア拡大による「一強化」が現実味を帯びてきたためだ。これに対して携帯電話大手のＮＴＴドコモやＫＤＤＩ（ａｕ）などは顧客基盤を生かして対抗。フリーマーケットアプリ大手のメルカリも独自性を追求している。しかし今後は各社の競争の中で優勝劣敗が顕在化する可能性もありそうだ。

　ＺＨＤとＬＩＮＥはともにスマホ決済サービスに注力してきた。ヤフーとソフトバンクが共同出資するペイペイは昨年１０月にサービスを開始。今年１０月の消費税増税でキャッシュレス決済時のポイント還元が導入されたことを追い風に順調に利用者を増やし、今月１８日には利用者数が２千万人を突破したと発表した。

　ペイペイは利用実績も加速している。１０月の決済回数は８４７０万回と９月から倍増。加盟店数も１７０万カ所まで増えており、ペイペイの中山一郎社長は「認知度が高まり、店側からの直接申し込みの数字が圧倒的に多い」と明かす。

　一方、ＬＩＮＥが手がけるＬＩＮＥペイは登録者数こそ３６９０万人に上るが、決済の利用率は振わない。ただ、ＬＩＮＥの持つ８千万人の会員基盤は厚みがあり、成長余地は大きい。

　◇共有化に亀裂も

　さらに両社の統合は、ＬＩＮＥペイがドコモ、ＫＤＤＩ、メルカリなどと手がけるＱＲコードの共有化などの取り組みに亀裂をもたらす可能性もある。

　ＺＨＤとＬＩＮＥは当面、ペイペイとＬＩＮＥペイを併存させる方針。両社が費用を投じて築いたサービスのブランドは生かしつつ、システムでの効率化を目指す。ただ、将来的にペイペイとＬＩＮＥペイがＱＲコードのシステムを統一することになれば、ＬＩＮＥペイがＱＲコード共有化から離脱する筋書きもありえる。

　こうした中、ドコモやＫＤＤＩは携帯電話事業での顧客基盤を武器に利用者拡大を進める。インターネット通販事業で１億人の利用者を擁する楽天の楽天ペイも対抗勢力となりそうだ。ＭＭＤ研究所がＱＲコード決済利用者に現在メーンで使っているサービスを尋ねたところ、ドコモが展開するｄ払いと楽天ペイはペイペイ、ＬＩＮＥペイを含めた上位４社に食い込んだ。

　◇追撃するメルカリ

　この４社を追うメルカリの対応にも注目が集まる。メルペイはメルカリでの売上金を利用できるのが最大の特長で、メルカリでの売り上げは年５千億円超。アプリでの売上金をてこに、実店舗とフリマアプリの間をお金と商品が循環する独自のスマホ決済を目指す。

　ただ、日本ではキャッシュレス決済は十分に浸透しておらず、「スマホ決済は３～５％にすぎない」（ＺＨＤの川辺健太郎社長）。スマホ決済自体が普及しなければ、競争の結果、市場から脱落者が出ることは避けられない。

　メルペイの金高恩執行役員も「（決済方法を）現金からキャッシュレスに移すことが優先」と指摘。今後はメルペイで購入した商品をメルカリに出品しやすくする仕組みなどを導入する考えだ。（高木克聡）",産経新聞,ソフトバンク
アマゾンに勝てる人材とは　デジタルシフトの専門家が指南,"
米国の巨大IT企業「GAFA」（グーグル、アマゾン、フェイスブック、アップル）が圧倒的なパワーを発揮する一方で、日本では大企業の多くが衰退のリスクに直面している。デジタルシフトに対応して会社を成長させるには、どんな人材が必要なのか――。『GAFAに克つデジタルシフト』を書いた鉢嶺登氏に聞いた。",NIKKEI STYLE,ソフトバンク
PayPayで漫画・電子書籍を買うと最大50％還元！　12月27日・1月3日・1月10日がチャンス,"
　PayPayと漫画・電子書籍販売サイト「ebookjapan」を運営するイーブックイニシアティブジャパンは、2019年12月26日午前0時から20年1月13日午後11時59分まで、電子書籍をPayPay残高で支払って購入したユーザーに最大20％のPayPayボーナスを付与する「年末年始は電子書籍で最大20％戻ってくる！」キャンペーンを実施する。同キャンペーンは、20年1月に実施する「いつもどこかでワクワクペイペイ」の位置づけ。



　対象は、ebookjapanで販売する全ての電子書籍。ソフトバンクとワイモバイルのスマートフォン（スマホ）ユーザー、Yahoo!プレミアム会員はPayPayボーナス1％とPayPayボーナスライト19％を合わせた20％が付与される。それ以外のユーザーでも、PayPayボーナス1％とPayPayボーナスライト9％を合わせた10％が付与される。付与上限額は期間中1万円で、決済の翌月下旬以降に付与される。
 

●金曜日はさらに最大50％還元
　ほかにもebookjapanでは毎週金曜日に、ソフトバンクやワイモバイルユーザーなどを対象に電子書籍を購入すると最大30％が付与されるキャンペーンを実施している。先述の「年末年始は電子書籍で最大20％戻ってくる！」キャンペーンと組み合わせれば、購入額の最大50％がゲットできる。
 

　期間中に対象となる金曜日は12月27日、1月3日、1月10日。Yahoo!プレミアム会員でも最大40％、それ以外のユーザーでも最大11％のポイントが還元される。",BCN,ソフトバンク
