title,content,media,keyword
「香港人権・民主主義法」が成立。これは絶好のタイミング。習近平“国賓”来日中止の決定を！,,None media,ソフトバンク
元ヤフー会長・宮坂学さんが選ぶ「心が迷ったときに背中を押してくれる本」3冊,"
あの1冊があったから、今の自分がある──。

さまざまな分野で活躍をする方に、人生や仕事観において影響を受けた本をこっそりと教えてもらい、タイトルも著者も明かさないまま購入者のもとへ本をお届けするサービス「BLIND BOOK CLUB」。【全画像をみる】元ヤフー会長・宮坂学さんが選ぶ「心が迷ったときに背中を押してくれる本」3冊今回、選書をしてくれたのはヤフー株式会社元会長の宮坂学さんです。

宮坂さんといえばヤフーの会長を退任した直後に、東京都参与に就任したことも話題となりましたが、さらに副都知事に抜擢され、多忙を極める毎日です。

現在は他の仕事の一切をシャットアウトして都政に尽力する宮坂さんですが、実は東京都参与に就任してまもないときにライフハッカー［日本版］が主催した「BLIND BOOK CLUB」のキックオフイベントで登壇し、“リーダーシップ”を中心に語っていただく機会がありました。

大企業の社長・会長としてどのようなリーダーシップ像を発揮してきたのか、ビジネスパーソンの皆さんにとっては気になるテーマ。

さらに趣味である読書のことにもふれていましたのでご紹介しましょう。

【動画付】元ヤフー会長・宮坂学さんが選ぶ「心が迷ったとき背中を押してくれる」3冊

                        宮坂学さんが選ぶ「心が迷ったときに背中を押してくれる」3冊をタイトル・著者名を明かさずにお届けします。今年7月に渋谷BOOK LAB TOKYOで行われた組織開発ファシリテーター・長尾彰さんとのトークイベントの動画付きです。",ライフハッカー［日本版］,ソフトバンク
人気なのはiPhoneだけじゃない！　3万円代のコスパ重視スマホが今人気！　スマートフォン売れ筋ランキングTOP10,"
　「BCNランキング」2019年11月25日の日次集計データによると、スマートフォンの実売台数ランキングは以下の通りとなった。

1位　iPhone 11 64GB(SoftBank)（アップル）
2位　AQUOS sense3 SH-02M（シャープ）
3位　iPhone 11 128GB(SoftBank)（アップル）
4位　iPhone 11 128GB(au)（アップル）
5位　P30 lite MAR-LX2J（Huawei Technologies）
6位　iPhone 11 Pro 256GB(SoftBank)（アップル）
7位　Reno A 64GB（OPPO）
8位　iPhone 11 64GB(au)（アップル）
9位　らくらくスマートフォン me F-01L（富士通コネクテッドテクノロジーズ）
10位 ZenFone Max (M2) ZB633KL-32S4（ASUS）
 

＊「BCNランキング」は、全国の主要家電量販店・ネットショップからパソコン本体、デジタル家電などの実売データを毎日収集・集計しているPOSデータベースで、日本の店頭市場の約4割（パソコンの場合）をカバーしています。

 ",BCN,ソフトバンク
「AI後進国」日本の“逆転の一手”になるか Googleが渋谷に起業家支援の拠点開設,"
アメリカのIT大手・グーグルは11月19日、日本のスタートアップ企業を支援するための拠点を東京・渋谷に開設した。
ロンドンやサンパウロ、ソウルなどに次いで世界で7つ目の拠点だ。
まずは、全国から募集したAI＝人工知能を活用したビジネスを展開するスタートアップ企業、最大12社を2020年2月から3カ月間にわたり、支援するという。
渋谷の日本法人の本社内に、拠点として作業スペースや会議室が設けられていて、グーグルの社員らが経営やAIの技術について研修や指導を行うということだ。世界のIT企業の巨人が東京でスタートアップ支援来日したグーグル スンダ―・ピチャイCEO；
日本の起業家と事業の成功を支援することに情熱を持っている。
来年のオリンピック以降に生まれる技術革新を継承していくためにも、この拠点が活用されることを期待している。

ピチャイ氏はこう述べて、期待感を示した。
グーグルは、世界中にこのような拠点を設けることで、日本の起業家を世界の経営者と結び、事業を後押しするとともに、女性起業家の育成にも力を入れる考えだ。

スタートアップの支援をめぐっては、アマゾンも2018年9月に、起業を支援するための拠点を東京にオープンしている。
ニューヨーク、サンフランシスコに次ぐ第3の拠点となる。
アマゾンの子会社が主催するセミナーやトレーニングに無料で参加することができ、各社が日本のスタートアップ支援や、AI人材の育成に取り組んでいる。
アマゾンジャパン合同会社のジェスパー・チャン社長は22日、報道陣に向け、AI人材の育成が急務であると訴えた。

アマゾンジャパン合同会社 ジェスパー・チャン社長；
グローバル市場における競争力の激化、技術革新などにより、日本の企業は改革を迫られている。
AIを教育できる人材を育てることが大切。今後組織にいるすべての人が、 ITリテラシーの向上が必要になってくる。",FNN.jpプライムオンライン,ソフトバンク
米中貿易戦争の激化と5G市場の変容、北欧のノキアとエリクソンに注目が集まる理由,"
激化する米中貿易戦争。世界最大の経済大国である米国と、この覇権に挑戦する中国の争い、その影響は世界中に波及し、さまざまな現象を引き起こしている。

その1つが「5G勢力図の変化」だ。

これまで低価格を売りとして世界各国で5Gネットワーク設備を受注してきた中国ファーウェイだが、さまざまな疑惑が浮上しており、ファーウェイの5G設備導入を見送る国が増え、その勢いに陰りが見え始めている。

このファーウェイへの懸念増大の中で、フィンランドの通信機器大手であるノキアへの注目度が高まりを見せている。

ノキアは2019年6月3日プレスリリースを発表し、最近5G関連の受注が急増、受注数は42件であることを明らかにした。

これに関して同社経営陣らは、受注件数でファーウェイやノキアを上回ったと主張。ノキア側によるとこの時点の受注数はファーウェイが推定40件、エリクソンが19件という（これに対しファーウェイは46件と主張している）。

ノキアの5G関連受注数は2019年3月末時点で30件だった。平均して毎週1件以上のペースで案件を受注してきた計算になる。

2019年5月末には、ソフトバンクが5Gの通信機器サプライヤーにノキアとエリクソンを選んだことを発表。NTTやKDDIなども追随すると見られており、日本でもファーウェイ排除の動きが顕著になりつつある。

米中貿易戦争に変わりつつある世界の5G勢力図。5Gをめぐり世界各国でどのようなことが起こっているのか。その最新動向をお伝えしたい。",AMP［アンプ］,ソフトバンク
Matt、父・桑田真澄は“Matt化”せず「＃パパは肌だけ若返り」,"
　モデルのMattが28日、自身のインスタグラムを更新。元プロ野球巨人の桑田真澄氏との2ショットを公開した。【写真】Matt化はされていない“美肌”な桑田真澄氏と学ラン姿Mattの親子ショット　全国で放映されるソフトバンク『ワイモバイル』の新テレビCM「親子 de ダンス」篇でCM初共演する2人。Mattは「三者面談行ってきます」とフリルのついた学ラン姿で桑田氏と並ぶ写真をアップした。Mattは安定の“Matt化”された写真だが、桑田氏については「＃パパは肌だけ若返り」と、シミシワなどがない美肌仕様に。デカ目・小顔になる“Matt化”のお披露目はなかった。

　Mattは以前の投稿で「＃本人の希望がない時はMatt加工致しません ＃芸能人はみんな綺麗なので ＃無断ではMatt加工はしません ＃希望ある場合 ＃作成した上で加工前加工後どちらもタレントさんにお送りしてます」とMatt化の定義を説明していた。

　この投稿にファンから「お肌が綺麗なパパさまとっても素敵ですね」「パパもMatt化希望です」の声や、「素敵なパパとmattさん」「フリル学ランめっちゃ似合ってます 王子様」など、反響が寄せられている。",オリコン,ソフトバンク
〔東京株式〕5日ぶり小反落＝米中関係見守る（28日）☆差替,"
　【第1部】日経平均株価は前日比28円63銭安の2万3409円14銭、東証株価指数（TOPIX）は2．92ポイント安の1708．06と、ともに5営業日ぶり小反落。米国で香港人権・民主主義法が成立したことに対する中国の反応など、米中の通商問題を見守る状態になり、終日方向感を欠いた。
　銘柄の66％が下落し、29％が上昇。出来高は9億2501万株、売買代金は1兆5982億円。
　業種別株価指数（33業種）は、金属製品、陸運業、鉱業、機械などが下落。上昇は医薬品、空運業など。
　ファーストリテが小幅に続落し、武田がさえず、リクルートHD、ZOZOは軟調だった。JR東海が売られ、三井住友は小幅安。国際帝石が甘く、住友鉱は値を下げた。SUMCOが値を消し、ソニー、東エレク、コマツも下落した。半面、トヨタが堅調で、日立、パナソニックは値を上げた。任天堂はしっかり。ソフトバンクGが小高く、JALが続伸し、日本新薬は大幅反発。
　【第2部】5日続伸。東芝、サイバーSが堅調。那須鉄、FRACTALEはさえない。出来高9994万株。
　▽海外勢は休暇入りか
　27日の米主要株価指数はそろって上昇したが、日本時間の朝方にトランプ米大統領が「香港人権・民主主義法案」に署名して同法が成立したと伝わると、中国による報復措置への警戒感が出て、日経平均株価は前日終値近辺で上下するはっきりしない動きになった。28日の米市場が感謝祭で休場のため「海外投資家が休暇体制に入り、積極的な売買が見られなかった」（国内証券）との指摘もあった。
　この日の取引時間中は、香港人権法案に対して中国政府からは「極度の遺憾の意」とする抗議声明が出ただけで、具体的な報復措置は示されなかった。海外勢が本格的に取引に市場に戻るのは12月2日に米国市場の取引が再開された後となるため、「中国が貿易協議を停滞させる反応をするか見守りつつもみ合う状況が、来週初めまで続くかもしれない」（銀行系証券）という。
　225先物12月きりは軟調。香港人権法の成立による米中貿易協議の停滞などへの警戒感出る中で、利益確定や手じまいの売りがやや優勢になった。225オプションはプットが値を上げ、コールは下落。",時事通信,ソフトバンク
Harman/Kardon、ブランド初の完全ワイヤレスイヤホン等“FLYシリーズ”3モデル,"
ハーマンインターナショナルは、Harman/KardonのBluetoothイヤホン／ヘッドホン “FLYシリーズ” 3製品を、SB C&S（株）の直販サイトSoftBank SELECTIONなどで発売する。価格はいずれもオープン。ラインナップ、発売日等は以下の通り。

●ノイズキャンセリング搭載Bluetoothヘッドホン「FLY ANC（フライ エーエヌシー）」
11月29日発売／直販価格27,280円（税込）
●Bluetoothイヤホン「FLY BT（フライ ビーティー）」
11月29日発売／直販価格10,780円（税込）

●完全ワイヤレスイヤホン「FLY TWS（フライ トゥルーワイヤレス）」
2020年春発売／直販価格21,780円（税込）

FLY ANCは、四角いイヤーパッドが特徴的な高級感のあるデザインと、長時間でも快適な装着感にこだわったというオーバーイヤー型のノイズキャンセリング搭載Bluetoothヘッドホン。持ち運びに適した40mmサイズのドライバーを搭載し、Harman/Kardonブランドの特徴である臨場感豊かな厚みのあるサウンドが楽しめるとする。

Bluetooth接続ではノイズキャンセリング機能を併用して最大約20時間、ノイズキャンセリングをオフにした状態で最大約30時間の連続再生が可能。コーデックはAAC／SBCに対応する。15分で約2.5時間分の充電が可能な急速充電機能を搭載し、付属ケーブルにより有線接続でも使用できる。本体は折りたたみが可能で、専用ケースも付属する。

その他、Googleアシスタント／Amazon Alexaや、2台のBluetooth端末と同時待ち受けが可能なマルチポイント機能、イコライザーやノイズキャンセリングの設定ができる専用アプリ「My harman/kardon Headphones」などに対応している。質量は約280g。

FLY BTは、無駄を省いたシンプルで洗練されたデザイン、8.6mmダイナミックドライバーによる滑らかな中高音と厚みのある低音が特徴というブランド初のBluetoothイヤホン。絡みにくいファブリック素材の被覆を採用したケーブル、非使用時に左右のハウジングをくっつけておける内蔵マグネット、IPX5の防水仕様等、使いやすさにも配慮したとしている。

連続再生時間は最大8時間で、15分で約2時間分充電できる急速充電機能を搭載。質量は約17.1g。

FLY TWSは、5.6mmダイナミックドライバーによりブランドのシグネチャーサウンドが楽しめるという初の完全ワイヤレスイヤホン。音楽と同時に周囲の音を取り込むアンビエントアウェア機能、装着したまま会話ができるよう再生音量も落とすトークスルー機能を搭載し、IPX5準拠の防水も備える。

タッチ操作に対応しており、Googleアシスタント／Amazon Alexaの呼び出しが可能。耳から外すと自動的に再生を一時停止し、装着すると再開するパワーセーブ機能も搭載している。連続再生時間はイヤホン本体が最大約6時間、ケースでの充電を含め約18時間となっている。質量は片側約7.5g。",PHILE WEB,ソフトバンク
1万4400円のスマホ「Libero S10」、新色「レッド」登場,"
　ソフトバンクとウィルコム沖縄は、ワイモバイル（Y!mobile）ブランドのAndroidスマートフォン「Libero S10」（ZTE製）で、新たなカラーバリエーション「レッド」を2019年12月上旬以降に発売する。

　Libero S10は、2019年11月に発売されたばかりのスマートフォン。直販サイトでの価格は、2万8800円だが、新規およびMNPでは割引が適用され1万4400円（税込、以下同）、機種変更では2万1600円で販売される。

　チップセットはクアルコム製の「Snapdragon 450」、メモリ（RAM）は3GB、内部ストレージは32GB。外部ストレージは最大512GBのmicroSDXCに対応する。バッテリー容量は3100mAh、OSはAndroid 9。IP57相当の防水・防塵性能を備え、ぬれた手でも操作できる機能、手袋を着けたまま操作できる「手袋モード」に対応。背景ぼかしやポートレート撮影に対応した約1300万画素＋約200万画素のデュアルカメラを搭載する。",Impress Watch,ソフトバンク
〔東京株式〕横ばい＝米中関係の行方にらみ模様眺め（28日後場寄り付き）,"
　【第1部】日経平均株価、東証株価指数（TOPIX）ともに前日の終値近辺で小幅な値動き。トランプ米大統領の「香港人権・民主主義法案」への署名を受け、米中関係の行方を見極めようと、模様眺め気分の強い展開が続いている。
　トヨタが小締まり、日立、パナソニックは大幅高で、東エレク、SUMCOも堅調。ソフトバンクGが小高く、三菱UFJは底堅い。JTが値を上げ、資生堂は買い優勢。半面、ソニーが甘く、村田製、ファナック、キーエンスは売り物がちで、ホンダもさえない。ファーストリテが軟調で、リクルートHDは下落している。",時事通信,ソフトバンク
